module	n_raw	rho_raw	p_raw	rho_partial_IFNG_hallmark	p_partial_IFNG_hallmark	n_h	rho_partial_IFNG_ayers	p_partial_IFNG_ayers	n_a	rho_partial_Purity	p_partial_Purity	n_p	rho_partial_IFNG+Purity	p_partial_IFNG+Purity	n_hp
HLA-I	527	0.31752728829015525	8.262253444036571e-14	0.020574857324871316	0.637458891873755	527	0.3237690625511787	2.513627622346423e-14	527	0.30073574309437623	1.7722420616672605e-12	527	0.020967745572064597	0.6310457379131273	527
HLA-II	527	0.39257492865474924	7.286718488718135e-21	0.18251360340710854	2.493592057615661e-05	527	0.43605950797552073	7.164176911967098e-26	527	0.4108817008322435	6.972879504572823e-23	527	0.21252888808813583	8.492782695101662e-07	527
