path	coef	se	pval	CI2.5	CI97.5	sig	target	n
mean_8g_beta ~ X	0.09353222931697244	0.00680780339034965	7.086386725870271e-37	0.0801581109495537	0.10690634768439118	Yes	HLA-I	523
IFNG_hallmark ~ X	0.4925490679511589	0.05890113640609903	5.652333135930051e-16	0.3768361536523535	0.6082619822499643	Yes	HLA-I	523
Y ~ mean_8g_beta	0.7997679211856112	0.2451552739668302	0.0011777087347257687	0.31815143705733856	1.2813844053138839	Yes	HLA-I	523
Y ~ IFNG_hallmark	0.9203128842730024	0.031053662430841886	8.883626423861176e-114	0.8593068309368956	0.9813189376091092	Yes	HLA-I	523
Total	0.4574264418936637	0.06702783470474045	2.4605285804619334e-11	0.32574840364072066	0.5891044801466068	Yes	HLA-I	523
Direct	-0.09635492781272359	0.03689850447756835	0.009279508071575102	-0.16884371252334385	-0.023866143102103346	Yes	HLA-I	523
Indirect mean_8g_beta	0.10156569470883968	0.02879015436003782	0.0	0.046423302119719005	0.16342736197453078	Yes	HLA-I	523
Indirect IFNG_hallmark	0.452215674997548	0.060150031961500094	0.0	0.3410568637883237	0.5687125657574285	Yes	HLA-I	523
mean_8g_beta ~ X	0.09353222931697244	0.00680780339034965	7.086386725870271e-37	0.0801581109495537	0.10690634768439118	Yes	HLA-II	523
IFNG_hallmark ~ X	0.4925490679511589	0.05890113640609903	5.652333135930051e-16	0.3768361536523535	0.6082619822499643	Yes	HLA-II	523
Y ~ mean_8g_beta	2.4049880490320117	0.3730209538570883	2.6028802481042874e-10	1.6721747695300877	3.1378013285339357	Yes	HLA-II	523
Y ~ IFNG_hallmark	1.1981001898809691	0.047250326673681724	6.121102186165998e-93	1.1052751984448481	1.29092518131709	Yes	HLA-II	523
Total	0.9379814521893719	0.093099500319868	6.23333944952685e-22	0.7550849045319484	1.1208779998467953	Yes	HLA-II	523
Direct	0.16757119657795427	0.05603054889750182	0.0029154691001932707	0.05749664332016455	0.27764574983574397	Yes	HLA-II	523
Indirect mean_8g_beta	0.17840266878049582	0.045368543752220006	0.0	0.09784047389232882	0.2804890541284679	Yes	HLA-II	523
Indirect IFNG_hallmark	0.592007586830922	0.07824437183200468	0.0	0.44230874842021495	0.7505339978403596	Yes	HLA-II	523
