source_dataset,n_records,n_with_peptide,n_with_hla,n_positive,n_negative
BigMHC_example1,9,9,9,4,5
CEDAR,5000,4985,4941,4837,163
IEDB_tcell_v3,100000,100000,88577,38314,61686
NeoRanking_Gartner_nmers_ranking,46,46,0,46,0
TSNAdb_predicted_Fusion_Pancreas,161,161,161,0,0
TSNAdb_predicted_Fusion_Skin,918,918,918,0,0
TSNAdb_predicted_Fusion_Thyroid,250,250,250,0,0
TSNAdb_predicted_INDEL_Pancreas,806,806,806,0,0
TSNAdb_predicted_INDEL_Skin,2557,2557,2557,0,0
TSNAdb_predicted_INDEL_Thyroid,1657,1657,1657,0,0
TSNAdb_predicted_SNV_Pancreas,3985,3985,3985,0,0
TSNAdb_predicted_SNV_Skin,20000,20000,20000,0,0
TSNAdb_predicted_SNV_Thyroid,1218,1218,1218,0,0
TSNAdb_validated,1856,1856,1856,0,0
clinical_vaccine_BNT122_PDAC,1,0,0,1,0
clinical_vaccine_ELI002_mKRAS,1,0,0,1,0
clinical_vaccine_KEYNOTE942_melanoma,1,0,0,1,0
