source	group	n	median_p_DM2	mean_p_DM2	q25_p_DM2	q75_p_DM2	frac_DM2_call
TCGA-THCA	TCGA_DM2	360	0.9885950333415062	0.9178794943617444	0.9269346000948724	0.9978673820999021	0.9583333333333334
TCGA-THCA	TCGA_DM1	140	0.08187881297108518	0.2111778882930192	0.022854987763913197	0.2941648715376609	0.15
Lee_GSE213647	Lee_Normal	262	0.63939078242866	0.5957625203110781	0.35731751182533067	0.8313906299695721	0.6335877862595419
Lee_GSE213647	Lee_PTC	353	0.984721953276144	0.8673363941843423	0.843749514363649	0.998704409548007	0.9008498583569405
Lee_GSE213647	Lee_ATC	8	0.9500823798935558	0.909942317975188	0.8865274184701615	0.9729602626823002	1.0
Lee_GSE213647	Lee_PDFP	9	0.9918803030184178	0.9820432568595159	0.9720646249805164	0.9981488891890601	1.0
K2_PRJEB11591	K2_PRJEB11591	260	0.9776623261950667	0.901265569057617	0.8908912439911548	0.9998302817509878	0.9461538461538461
