covariate	cohen_d	delta_d
raw (no residualization)	-0.9485566349954275	0.0
residualize on B cell	-0.8601494909150996	0.0884071440803279
residualize on Endothelial cell	-0.4400228750652755	0.508533759930152
residualize on Epithelial cell	0.008235360282152285	0.9567919952775799
residualize on Fibroblast	-0.9565535143554887	-0.007996879360061215
residualize on Malignant cell	-0.7046892085112578	0.2438674264841697
residualize on Myeloid cell	-0.4652499427811297	0.48330669221429784
residualize on NK cell	-0.9222746604485476	0.02628197454687997
residualize on T cell	-0.9485566349954275	0.0
residualize on ALL 8 cell-type fractions	-0.09312867404092404	0.8554279609545035
residualize on immune (B cell, Myeloid cell, NK cell, T cell)	-0.47387563205107885	0.4746810029443487
residualize on stromal (Endothelial cell, Fibroblast)	-0.4352343432663425	0.513322291729085
