driver	gene	mean	other_mean	cohen_d_vs_other	n
BRAF_V600E	DIO1	0.521873448275862	0.45275407407407403	0.3287413768567696	290
RAS_mut	DIO1	0.4181037735849057	0.45275407407407403	-0.157001153734577	53
BRAF_V600E	FOXE1	0.0823551724137931	0.0879733333333333	-0.11286731225856782	290
RAS_mut	FOXE1	0.05536037735849056	0.0879733333333333	-0.6495261728381901	53
BRAF_V600E	NKX2-1	0.04719862068965517	0.06008740740740741	-0.1628787912876779	290
RAS_mut	NKX2-1	0.020962264150943394	0.06008740740740741	-0.47314609386348067	53
BRAF_V600E	PAX8	0.06768275862068966	0.0722	-0.10248210522583255	290
RAS_mut	PAX8	0.04279811320754718	0.0722	-0.6242689734284275	53
BRAF_V600E	SLC5A5	0.5773631034482758	0.575297037037037	0.018492677662986234	290
RAS_mut	SLC5A5	0.5943584905660377	0.575297037037037	0.1650664134844073	53
BRAF_V600E	TG	0.6527596551724137	0.601457037037037	0.3366742044280311	290
RAS_mut	TG	0.4886528301886792	0.601457037037037	-0.6842287745701082	53
BRAF_V600E	TPO	0.8779355172413794	0.6565962962962963	1.3611101488471702	290
RAS_mut	TPO	0.4821754716981132	0.6565962962962963	-0.654692866746348	53
BRAF_V600E	TSHR	0.1481934482758621	0.1455688888888889	0.02589244685511043	290
RAS_mut	TSHR	0.06972264150943397	0.1455688888888889	-0.734264313230935	53
BRAF_V600E	mean_8g_beta	0.37192021551724136	0.3314917592592592	0.6191468555307468	290
RAS_mut	mean_8g_beta	0.2715167452830189	0.3314917592592592	-0.7380407521285962	53
