cohort	panel	n	spearman_rho	spearman_p	pearson_r	pearson_p
TCGA-THCA	Panel_8	572	-0.2910056814935736	1.2582518606102983e-12	-0.33017994020568914	5.147518709921372e-16
TCGA-THCA	TDS_16	572	-0.3055018353429334	8.027107022868457e-14	-0.3430996141115333	3.0274873846317014e-17
TCGA-THCA	TDS_8only	572	-0.309650152160307	3.5485054058209014e-14	-0.3287464141464335	6.991688754556536e-16
Lee_GSE213647	Panel_8	632	-0.39514366562373815	4.754681324840331e-25	-0.239021608729192	1.1617336145987992e-09
Lee_GSE213647	TDS_16	632	-0.4349844587526367	1.4676364112895182e-30	-0.2852199822194257	2.7020022967882544e-13
Lee_GSE213647	TDS_8only	632	-0.44856775518939235	1.298191678296804e-32	-0.3270879240492578	3.1779767191060044e-17
