sample_id	source	group	p_DM2	p_DM2_oof	DM_call	score_basis	n_panel_genes	p_DM2_prev_v4	abs_delta_prev_v4
TCGA-BJ-A45D-01A	TCGA-THCA	TCGA_DM1	0.018713876276224433	0.023551828989230708	DM1	centered_panel8_log2	8		
TCGA-MK-A4N7-01A	TCGA-THCA	TCGA_DM2	0.9998879850316024	0.9998500760277145	DM2	centered_panel8_log2	8		
TCGA-ET-A25N-01A	TCGA-THCA	TCGA_DM2	0.9263135391348436	0.8946052936808692	DM2	centered_panel8_log2	8		
TCGA-DJ-A2PQ-01A	TCGA-THCA	TCGA_DM2	0.9965978106396152	0.9963333837080268	DM2	centered_panel8_log2	8		
TCGA-E8-A438-01A	TCGA-THCA	TCGA_DM2	0.9523839662193654	0.9474239968292243	DM2	centered_panel8_log2	8		
TCGA-EM-A22I-01A	TCGA-THCA	TCGA_DM2	0.9992095709438621	0.9993442242635479	DM2	centered_panel8_log2	8		
TCGA-DJ-A1QO-01A	TCGA-THCA	TCGA_DM2	0.935357794719926	0.92809085990623	DM2	centered_panel8_log2	8		
TCGA-E8-A3X7-01A	TCGA-THCA	TCGA_DM2	0.9976691532983925	0.9977844532011609	DM2	centered_panel8_log2	8		
TCGA-E3-A3E2-01A	TCGA-THCA	TCGA_DM2	0.9885522418648619	0.985912015709274	DM2	centered_panel8_log2	8		
TCGA-E8-A434-01A	TCGA-THCA	TCGA_DM2	0.704893304925048	0.6324231616765812	DM2	centered_panel8_log2	8		
TCGA-EL-A3MZ-01A	TCGA-THCA	TCGA_DM2	0.9967042655484702	0.9969082277065839	DM2	centered_panel8_log2	8		
TCGA-ET-A3DQ-01A	TCGA-THCA	TCGA_DM2	0.4171808913292707	0.3966557361492536	DM1	centered_panel8_log2	8		
TCGA-J8-A3O1-01A	TCGA-THCA	TCGA_DM2	0.9999742059392523	0.9999659720449665	DM2	centered_panel8_log2	8		
TCGA-BJ-A0Z2-01A	TCGA-THCA	TCGA_DM1	0.16549089387805307	0.19827907177630158	DM1	centered_panel8_log2	8		
TCGA-DJ-A2PN-01A	TCGA-THCA	TCGA_DM2	0.6027481715621794	0.6053308208583231	DM2	centered_panel8_log2	8		
TCGA-EL-A3CV-01A	TCGA-THCA	TCGA_DM2	0.9954422785821191	0.9958819693306175	DM2	centered_panel8_log2	8		
TCGA-FE-A239-01A	TCGA-THCA	TCGA_DM1	0.48233009289709505	0.5048551612098453	DM2	centered_panel8_log2	8		
TCGA-DE-A4M8-01A	TCGA-THCA	TCGA_DM2	0.8647230136443471	0.852228389238856	DM2	centered_panel8_log2	8		
TCGA-BJ-A28W-01A	TCGA-THCA	TCGA_DM1	0.24911851592149567	0.22560493207967924	DM1	centered_panel8_log2	8		
TCGA-EM-A22L-01A	TCGA-THCA	TCGA_DM1	0.07561716751124072	0.05911470135088771	DM1	centered_panel8_log2	8		
TCGA-BJ-A28T-01A	TCGA-THCA	TCGA_DM1	0.8478254806431977	0.9191490377939129	DM2	centered_panel8_log2	8		
TCGA-DJ-A4V0-01A	TCGA-THCA	TCGA_DM1	0.8649677715986622	0.9062671947054645	DM2	centered_panel8_log2	8		
TCGA-EL-A3H2-01A	TCGA-THCA	TCGA_DM1	0.07106592971681543	0.08674612725878238	DM1	centered_panel8_log2	8		
TCGA-DJ-A3UY-01A	TCGA-THCA	TCGA_DM2	0.5940588785841742	0.5970282222807647	DM2	centered_panel8_log2	8		
TCGA-J8-A3O2-01A	TCGA-THCA	TCGA_DM2	0.1605711601269242	0.15556682113150763	DM1	centered_panel8_log2	8		
TCGA-EM-A2CO-01A	TCGA-THCA	TCGA_DM1	0.017394815080799444	0.020633337363011057	DM1	centered_panel8_log2	8		
TCGA-FE-A3PB-01A	TCGA-THCA	TCGA_DM2	0.9994850171324656	0.9994339878703662	DM2	centered_panel8_log2	8		
TCGA-EL-A3ZM-01A	TCGA-THCA	TCGA_DM2	0.9997591274324694	0.9996304952238522	DM2	centered_panel8_log2	8		
TCGA-BJ-A4O8-01A	TCGA-THCA	TCGA_DM2	0.9985347414149177	0.9981465138387647	DM2	centered_panel8_log2	8		
TCGA-EM-A3AP-01A	TCGA-THCA	TCGA_DM1	0.05075708180651363	0.07205696627453731	DM1	centered_panel8_log2	8		
TCGA-FE-A3PA-01A	TCGA-THCA	TCGA_DM2	0.9753747831754002	0.9683290831099217	DM2	centered_panel8_log2	8		
TCGA-ET-A25P-01A	TCGA-THCA	TCGA_DM1	0.8614732337210351	0.8769829762403658	DM2	centered_panel8_log2	8		
TCGA-EL-A3ZH-01A	TCGA-THCA	TCGA_DM1	0.042800073227447694	0.04734719171068755	DM1	centered_panel8_log2	8		
TCGA-DJ-A2PU-01A	TCGA-THCA	TCGA_DM2	0.9951694206953391	0.9979158942921923	DM2	centered_panel8_log2	8		
TCGA-ET-A3DP-01A	TCGA-THCA	TCGA_DM2	0.965065430202661	0.9605266971833427	DM2	centered_panel8_log2	8		
TCGA-DJ-A2QC-01A	TCGA-THCA	TCGA_DM2	0.9855651349059956	0.9903369328667516	DM2	centered_panel8_log2	8		
TCGA-MK-A4N9-01A	TCGA-THCA	TCGA_DM2	0.9998872133665614	0.9998157891770014	DM2	centered_panel8_log2	8		
TCGA-EL-A3GS-01A	TCGA-THCA	TCGA_DM2	0.9915791379104331	0.9924411025992942	DM2	centered_panel8_log2	8		
TCGA-MK-A84Z-01A	TCGA-THCA	TCGA_DM1	0.05505690063779446	0.05932730359501877	DM1	centered_panel8_log2	8		
TCGA-EM-A3OA-01A	TCGA-THCA	TCGA_DM1	0.005825469167013022	0.00353265023635472	DM1	centered_panel8_log2	8		
TCGA-DJ-A3VA-01A	TCGA-THCA	TCGA_DM2	0.9890704133861904	0.9894678601938557	DM2	centered_panel8_log2	8		
TCGA-BJ-A191-01A	TCGA-THCA	TCGA_DM1	0.8326025335916434	0.908095206404235	DM2	centered_panel8_log2	8		
TCGA-EL-A3ZG-01A	TCGA-THCA	TCGA_DM2	0.9941621180535706	0.9942238924652929	DM2	centered_panel8_log2	8		
TCGA-EM-A3O9-01A	TCGA-THCA	TCGA_DM1	0.1942112322751197	0.22426622346820804	DM1	centered_panel8_log2	8		
TCGA-EL-A3N2-01A	TCGA-THCA	TCGA_DM2	0.9984766878024589	0.9974111167507584	DM2	centered_panel8_log2	8		
