cell_type	BRAF_V600E_mean	BRAF_V600E_n	RAS_mutant_mean	RAS_mutant_n	other_mean	other_n	d_other_vs_BRAF	d_other_vs_RAS	d_RAS_vs_BRAF
B cell	0.05127602397877979	280	0.04655044672832033	54	0.053914355758505735	179	0.13979689486112393	0.38220376486771496	-0.2687625383214264
Endothelial cell	0.12305849996136665	280	0.1361911872207757	54	0.13056806205162014	179	0.3379627826962089	-0.27772185766070606	0.5810596479311612
Epithelial cell	0.06567343452811643	280	0.09690829373291851	54	0.09166938758970421	179	1.0298881205793249	-0.18350223187586917	1.5231433524672269
Fibroblast	0.07722871120196363	280	0.06306376588748723	54	0.07634848914834003	179	-0.03352029931270226	0.5788000011666394	-0.5520372353037645
Malignant cell	0.3103257380527213	280	0.2686666983041176	54	0.2781409255308836	179	-1.0985030791729946	0.3025964305629661	-1.663722821184882
Myeloid cell	0.23059075158542197	280	0.2118139569774232	54	0.21881408970089786	179	-0.5764373956430565	0.360649592887611	-0.9487087875826399
NK cell	0.035627152021959464	280	0.03319491320310891	54	0.034376383775964345	179	-0.07604444838805194	0.07775355595482633	-0.1480648984574994
T cell	0.1062196886696704	280	0.14361073794584817	54	0.11616830644408384	179	0.2323821380731798	-0.6582977402202422	0.955408175099023
