cohort	n	n_total	panel	genes_used	genes_total	mapk_genes_used	spearman_rho	spearman_p	ci_lo	ci_hi
TCGA-THCA	572	572	Panel_8	8	8	9	-0.2910056814935736	1.2582518606102983e-12	-0.3642961865608891	-0.21413271164705858
TCGA-THCA	572	572	TDS_16	16	16	9	-0.3055018353429334	8.027107022868457e-14	-0.378015790002996	-0.2292622721434453
TCGA-THCA	572	572	TDS_8only	8	8	9	-0.309650152160307	3.5485054058209014e-14	-0.3819360314599308	-0.23359863900571662
Lee_GSE213647	632	632	Panel_8	8	8	9	-0.39514366562373815	4.754681324840331e-25	-0.4589890295835721	-0.3272380901707673
Lee_GSE213647	632	632	TDS_16	16	16	9	-0.4349844587526367	1.4676364112895182e-30	-0.49614321848703846	-0.36953042123425206
Lee_GSE213647	632	632	TDS_8only	8	8	9	-0.44856775518939235	1.298191678296804e-32	-0.5087595505692123	-0.3840117995761931
GSE126698	28	28	Panel_8	7	8	9	-0.11056376573617953	0.5754134693830784	-0.4644813986077161	0.273807386282944
GSE126698	28	28	TDS_16	14	16	9	-0.021346469622331693	0.9141408073542384	-0.39130707744912036	0.35455408349870227
GSE126698	28	28	TDS_8only	7	8	9	0.11220580186097427	0.5697174427785477	-0.2722686734837428	0.46578434747794084
GSE286332	18	18	Panel_8	8	8	9	-0.040247678018575844	0.8740147776078565	-0.49776453876897914	0.43479233332739237
GSE286332	18	18	TDS_16	16	16	9	0.0629514963880289	0.8040167566657793	-0.41614927511001115	0.5146946081413352
GSE286332	18	18	TDS_8only	8	8	9	0.12487100103199174	0.62152591689147	-0.36317143465827667	0.5591438105484411
GSE76039_advanced	37	37	Panel_8	8	8	9	0.12494073020388809	0.46124721335726754	-0.20747761351693747	0.431491575922692
GSE76039_advanced	37	37	TDS_16	16	16	9	0.07207207207207207	0.6716369683113379	-0.2579712506815235	0.3870523394244364
GSE76039_advanced	37	37	TDS_8only	8	8	9	-0.03674727358937885	0.829045595146944	-0.3565212336984894	0.2907334277460829
