fusion_class	cell_type	cohen_d_vs_no	p	n
RET	B cell	0.49974066145985363	0.001964652654598947	43
RET	Endothelial cell	0.28994354040379616	0.02764227023454214	43
RET	Epithelial cell	0.055185842496393835	0.23797291515597352	43
RET	Fibroblast	0.086774751530856	0.44975009053147064	43
RET	Malignant cell	-0.06216321719823079	0.555381827171102	43
RET	Myeloid cell	-0.1627607823052368	0.32046312288168044	43
RET	NK cell	0.06270951486708928	0.5570677011737599	43
RET	T cell	-0.37431938517904906	0.03538383946688112	43
NTRK	B cell	0.47430423475719774	0.08161119153977296	11
NTRK	Endothelial cell	0.5422853293490151	0.01902363185190399	11
NTRK	Epithelial cell	0.20840599392704742	0.1544934046673653	11
NTRK	Fibroblast	0.09849295479609539	0.5058378197258008	11
NTRK	Malignant cell	-0.6164705514041299	0.00537968490422575	11
NTRK	Myeloid cell	-0.03770988926681945	0.9884827585464545	11
NTRK	NK cell	-0.13982858988547994	0.6152110755485257	11
NTRK	T cell	-0.17229880554562618	0.6450746610937895	11
ALK	B cell	0.5905584503312645	0.16322241600854326	5
ALK	Endothelial cell	-0.14885562017443435	0.8093918837577407	5
ALK	Epithelial cell	-0.21412366750909306	0.8063536537474122	5
ALK	Fibroblast	-0.034391991371239786	0.8676137675195656	5
ALK	Malignant cell	-0.4115937967708173	0.1562352155624132	5
ALK	Myeloid cell	0.2736688289235666	0.2644888176240249	5
ALK	NK cell	0.23158236469254725	0.5111735214619424	5
ALK	T cell	0.06525875855658686	0.9577727638895037	5
BRAF	B cell	0.006575245353633968	0.7251277491787202	13
BRAF	Endothelial cell	-0.017533546762398187	0.8330999258505919	13
BRAF	Epithelial cell	0.8676147839903251	0.001173668093638533	13
BRAF	Fibroblast	0.09307128028268012	0.7369011663540952	13
BRAF	Malignant cell	-0.6663059398660686	0.022639182045664886	13
BRAF	Myeloid cell	-0.47219201255471566	0.07935225978401629	13
BRAF	NK cell	0.3048234148211161	0.30091863122297036	13
BRAF	T cell	-0.05973480387044501	0.7062468065276122	13
PAX8-PPARG	B cell	0.0	1.0	1
PAX8-PPARG	Endothelial cell	0.0	1.0	1
PAX8-PPARG	Epithelial cell	0.0	1.0	1
PAX8-PPARG	Fibroblast	0.0	1.0	1
PAX8-PPARG	Malignant cell	0.0	1.0	1
PAX8-PPARG	Myeloid cell	0.0	1.0	1
PAX8-PPARG	NK cell	0.0	1.0	1
PAX8-PPARG	T cell	0.0	1.0	1
