stage	subset	kind	median_rho_mapk_panel	mean_rho_mapk_panel	n_samples
ATC	all	basic_resid	0.023752192487692246	0.012562920516159724	4
ATC	all	full_resid	-0.0034256976147877868	2.1060827342535456e-05	4
ATC	all	local_knn30_resid	0.04667942607328514	0.035846612840017215	4
ATC	all	raw	0.13207080927593398	0.11849812818738817	4
ATC	all	spatial_poly_resid	-0.014534324203749718	-0.006454993088224669	4
ATC	epithelial_enriched_top50	basic_resid	0.016769896148392582	0.0016810845921436247	4
ATC	epithelial_enriched_top50	full_resid	-0.018489098776537292	-0.016728285130902777	4
ATC	epithelial_enriched_top50	local_knn30_resid	0.020774536651659826	0.018728980277166133	4
ATC	epithelial_enriched_top50	raw	0.0320551663578912	0.0490322797238493	4
ATC	epithelial_enriched_top50	spatial_poly_resid	-0.03167202453857278	-0.022591145076778202	4
ATC	epithelial_enriched_top75	basic_resid	0.01160477757795465	0.000662077388771378	4
ATC	epithelial_enriched_top75	full_resid	-0.017765147963067295	-0.013096224490356786	4
ATC	epithelial_enriched_top75	local_knn30_resid	0.025772009371549928	0.02133682182612421	4
ATC	epithelial_enriched_top75	raw	0.03977111373083848	0.03872223515559761	4
ATC	epithelial_enriched_top75	spatial_poly_resid	-0.03693758974289489	-0.014305009883635502	4
ATC	epithelial_iqr_25_75	basic_resid	-0.005089212043100315	0.005820001498417923	4
ATC	epithelial_iqr_25_75	full_resid	-0.010645219023335066	-0.006103955061185923	4
ATC	epithelial_iqr_25_75	local_knn30_resid	0.022705382552953023	0.02447610055865683	4
ATC	epithelial_iqr_25_75	raw	0.06871181158237688	0.08353899919800689	4
ATC	epithelial_iqr_25_75	spatial_poly_resid	-0.02555843181992387	-0.015717688523669174	4
LPTC	all	basic_resid	0.13612671892325048	0.13792503125946387	4
LPTC	all	full_resid	0.11640768294217263	0.1219589753180374	4
LPTC	all	local_knn30_resid	0.25320500992068845	0.23857792548275153	4
LPTC	all	raw	0.48278693876206136	0.44086267308467897	4
LPTC	all	spatial_poly_resid	0.10299427285302742	0.10429499689597152	4
LPTC	epithelial_enriched_top50	basic_resid	0.07943354729065438	0.11108919697204628	4
LPTC	epithelial_enriched_top50	full_resid	0.06942838064868286	0.1001862658681347	4
LPTC	epithelial_enriched_top50	local_knn30_resid	0.16323241317575476	0.19421148534283705	4
LPTC	epithelial_enriched_top50	raw	0.30946655647981247	0.3110014325829914	4
LPTC	epithelial_enriched_top50	spatial_poly_resid	0.09263230250836253	0.09456472201013655	4
LPTC	epithelial_enriched_top75	basic_resid	0.09074832765614028	0.10520492389851725	4
LPTC	epithelial_enriched_top75	full_resid	0.08231836935911135	0.0969533312552392	4
LPTC	epithelial_enriched_top75	local_knn30_resid	0.16219572429304416	0.19428097002641426	4
LPTC	epithelial_enriched_top75	raw	0.23263604388728826	0.24878124964709694	4
LPTC	epithelial_enriched_top75	spatial_poly_resid	0.09457158926294637	0.10272028094838398	4
LPTC	epithelial_iqr_25_75	basic_resid	0.09531578255826173	0.10598601156444791	4
LPTC	epithelial_iqr_25_75	full_resid	0.07153147015522421	0.09219902854792937	4
LPTC	epithelial_iqr_25_75	local_knn30_resid	0.1924260094148129	0.1743120018469067	4
LPTC	epithelial_iqr_25_75	raw	0.2937557310142894	0.3212848761590249	4
LPTC	epithelial_iqr_25_75	spatial_poly_resid	0.06688746142399443	0.07075510431892842	4
PT	all	basic_resid	-0.016018177991187203	-0.018659318412961916	4
PT	all	full_resid	-0.0037211314056086265	-0.008144191085101872	4
PT	all	local_knn30_resid	0.07837850085659542	0.07419161349427972	4
PT	all	raw	0.16758922549743355	0.16120603763652083	4
PT	all	spatial_poly_resid	0.00013582790802416588	-0.007931226867646244	4
PT	epithelial_enriched_top50	basic_resid	0.003615845676641041	0.0028929091358014976	4
PT	epithelial_enriched_top50	full_resid	0.009862479580000047	0.007432460067611132	4
PT	epithelial_enriched_top50	local_knn30_resid	0.07353546542723609	0.0695369454956773	4
PT	epithelial_enriched_top50	raw	0.1145220423880354	0.13027588057409395	4
PT	epithelial_enriched_top50	spatial_poly_resid	0.014337997629357318	0.006245558098326262	4
PT	epithelial_enriched_top75	basic_resid	-0.015610359910498731	-0.0015017264394657842	4
PT	epithelial_enriched_top75	full_resid	-0.015366492742107888	-0.0017416159503224884	4
PT	epithelial_enriched_top75	local_knn30_resid	0.06450018297412288	0.06234063583907794	4
PT	epithelial_enriched_top75	raw	0.09448939247798901	0.12166283746053272	4
PT	epithelial_enriched_top75	spatial_poly_resid	-0.01667118848832009	-0.0048060364624049915	4
PT	epithelial_iqr_25_75	basic_resid	-0.01641170968670999	-0.018050168299332325	4
PT	epithelial_iqr_25_75	full_resid	-0.010712992950642307	-0.011767393678718882	4
PT	epithelial_iqr_25_75	local_knn30_resid	0.0626168763085316	0.055739492350824524	4
PT	epithelial_iqr_25_75	raw	0.11059859152875512	0.11040237500345504	4
PT	epithelial_iqr_25_75	spatial_poly_resid	-0.005136998497328577	-0.009691677372846342	4
PTC	all	basic_resid	0.007780926531850198	-0.014080034093518887	4
PTC	all	full_resid	-0.011491258557131272	-0.025293897493250925	4
PTC	all	local_knn30_resid	0.12194199236980117	0.13189734419635768	4
PTC	all	raw	0.21098814183993	0.23008398799048324	4
