method	analysis	cell_type	cohen_d	p	DM1_mean	DM2_mean	n_DM1	n_DM2
NNLS	fraction_d	B cell	0.5368268980505309	2.43457422292267e-11	0.02713682664479309	0.010370568456896349	465	123
NNLS	fraction_d	Endothelial cell	-1.9812256477480383	1.2695478077210014e-43	0.08763459004849894	0.11522559597778453	465	123
NNLS	fraction_d	Epithelial cell	-2.3254411589490593	3.8373572353080064e-50	0.06946786349973907	0.14519014595206284	465	123
NNLS	fraction_d	Fibroblast	0.02260976926802907	0.8960072579768847	0.07246490998601399	0.07192191165944566	465	123
NNLS	fraction_d	Malignant cell	1.0804852511105325	7.99714022478214e-26	0.43888972397351966	0.37951081023083794	465	123
NNLS	fraction_d	Myeloid cell	1.1303568457978006	1.0609753413389798e-22	0.29569606565409323	0.27235931436417143	465	123
NNLS	fraction_d	NK cell	0.3614636202468218	0.002866735259454943	0.008710020193341966	0.005421653358801305	465	123
NNLS	fraction_d	T cell	0.0	1.0	0.0	0.0	465	123
NNLS	residual_canonical_score	raw (no residualization)	-2.28370287782678		7.065307075858123	8.9292301061891	465	123
NNLS	residual_canonical_score	residualize on immune	-1.5636149975232698		-0.27342350942848614	1.0336742429613488	465	123
NNLS	residual_canonical_score	residualize on stromal	-0.9960844551809481		-0.17003109137562353	0.6428004673956489	465	123
NNLS	residual_canonical_score	residualize on epithelial-only	-0.7540464728390621		-0.12392547976834674	0.4684987649778953	465	123
NNLS	residual_canonical_score	residualize on ALL 8 fractions	-0.5470078783390292		-0.08580337226407132	0.32437860246173417	465	123
Ridge-NNLS	fraction_d	B cell	0.5248842849626414	3.0371801552544514e-10	0.026332706278837353	0.01007733035731829	465	123
Ridge-NNLS	fraction_d	Endothelial cell	-1.9637756322398336	2.5906678545924927e-43	0.08862022133788985	0.11619987490927862	465	123
Ridge-NNLS	fraction_d	Epithelial cell	-2.3261668828467457	3.386436508498628e-50	0.07060394285719078	0.14661860425077114	465	123
Ridge-NNLS	fraction_d	Fibroblast	0.0334739692689728	0.7923932776855833	0.07384234546208385	0.07303550802360552	465	123
Ridge-NNLS	fraction_d	Malignant cell	1.0874804902875856	4.8768998874973496e-26	0.4383701133045434	0.37839131784448077	465	123
Ridge-NNLS	fraction_d	Myeloid cell	1.142968977645715	4.5120758274145526e-23	0.2955562542386831	0.2717491209476883	465	123
Ridge-NNLS	fraction_d	NK cell	0.3342859237120449	0.0026727791813042916	0.0066744165207716765	0.0039282436668574595	465	123
Ridge-NNLS	fraction_d	T cell	0.0	1.0	0.0	0.0	465	123
Ridge-NNLS	residual_canonical_score	raw (no residualization)	-2.28370287782678		7.065307075858123	8.9292301061891	465	123
Ridge-NNLS	residual_canonical_score	residualize on immune	-1.559692404652493		-0.2727413581428865	1.0310953783450514	465	123
Ridge-NNLS	residual_canonical_score	residualize on stromal	-1.005226503283875		-0.17148844815789605	0.6483099869383875	465	123
Ridge-NNLS	residual_canonical_score	residualize on epithelial-only	-0.7519949725646397		-0.1234476052393086	0.4666921661486043	465	123
