stage	epithelial_quartile	n	rho_raw	p_raw	rho_QC_plus_cell_state	p_QC_plus_cell_state	n_QC_plus_cell_state
PT	Q3	3683	0.14128487541092877	7.01917073455171e-18	0.049392038508340265	0.0027148765068767114	3683
PT	Q2	3685	0.09503183109146886	7.47189198358401e-09	-0.0007447787471293657	0.9639511891034045	3685
PT	Q1_low	3686	0.12748400831318238	7.913507166354296e-15	0.02183565775572744	0.1850370698383494	3686
PT	Q4_high	3686	0.13232972603118526	7.214513655753031e-16	0.05078780555024721	0.0020396581621880835	3686
PT	nan	77	0.16032444114099698	0.16366253451490298			0
PTC	Q3	4054	0.10576668612009653	1.4668797127291312e-11	0.023583587300025514	0.13326841594114086	4054
PTC	Q1_low	4057	0.3024936301218172	1.3110571029326502e-86	-0.013370931307847445	0.39452968781859166	4057
PTC	Q4_high	4057	0.11706766322361076	7.431688606696696e-14	-0.0012787744197289175	0.9351032218227153	4057
PTC	Q2	4055	0.09622463917020042	8.260482737481083e-10	-0.026828262893499946	0.08760396565909724	4055
PTC	nan	271	0.01442646150070152	0.8131191386948557			0
LPTC	Q4_high	3409	0.3847978916347211	9.847573929292345e-121	0.1658653734789182	1.8746128163168923e-22	3409
LPTC	Q2	3409	0.3844678922481837	1.637262854971843e-120	0.07539917414082964	1.0482954261474833e-05	3409
LPTC	Q1_low	3409	0.38325071713789255	1.0623877449745415e-119	0.21707366593456595	1.2229572975724905e-37	3409
LPTC	Q3	3407	0.39924327336367915	1.4177547496811392e-130	0.09963162608973702	5.6155995088089964e-09	3407
LPTC	nan	1430	0.13642910175977319	2.2327789185054646e-07			0
ATC	Q3	2817	0.08388623655833402	8.265833779211604e-06	0.056122597376646335	0.0028847724022584348	2817
ATC	Q4_high	2820	0.1048998942231166	2.3571203651385265e-08	0.05777678583360467	0.00214515554978154	2820
ATC	Q1_low	2821	0.12772236390265138	9.853672265816132e-12	0.09687029003908046	2.537300941691131e-07	2821
ATC	Q2	2818	0.10203084260224829	5.6970474800954645e-08	0.06982257735940268	0.00020774826545099366	2818
ATC	nan	346	0.4042503423992507	4.919537083636581e-15			0
