bin	B cell	Endothelial cell	Epithelial cell	Fibroblast	Malignant cell	Myeloid cell	NK cell	T cell	mean_score	n
0	0.0647247544045202	0.07991084523236752	0.02956139327073687	0.1178212370073917	0.2716588224688195	0.24414483417116936	0.010786556471481655	0.1813915569735129	-1.6728020883226447	64
1	0.06652946605340448	0.08243114157306064	0.04363891530915357	0.0810900655171059	0.29377200725919905	0.23314473426566534	0.011577342234686223	0.18781632778772442	-0.589734302228208	63
2	0.06314156503760981	0.08666149603391538	0.045075787045646375	0.07249515426188122	0.2961416021065682	0.23170731452859425	0.01496729432955397	0.18980978665623047	-0.38600340199284194	63
3	0.061110288363425025	0.08932323014489509	0.05539395371868255	0.07475243270874697	0.2828234836624146	0.230402572154789	0.015388395212724169	0.1908056440343223	-0.1947694069571904	63
4	0.06811283029907395	0.09471884259433529	0.0766042206825382	0.08363068338594101	0.2662885790506556	0.2253618984942527	0.013195757022740628	0.1720871884704623	0.044210573803226044	63
5	0.07551282163554021	0.10163075663594479	0.09398946542428809	0.08867811180736655	0.2482017297919101	0.2161944213195566	0.010136318546831617	0.16565637483856174	0.2575327135789458	63
6	0.06660731638786516	0.10465160910111124	0.10740923817636407	0.08511187411042528	0.24309382400498597	0.21079819667427416	0.00842035418132155	0.17390758736365228	0.4057507431143548	63
7	0.06099358276239301	0.10601687491513963	0.10753797768289101	0.08626268697091308	0.2448174832947364	0.20879337640982223	0.010714595545436155	0.17486342241866815	0.5527293258474283	63
8	0.05479618095928986	0.106628228882183	0.11668020462942148	0.08231282346006634	0.24550060570887852	0.20530983836331393	0.013542474281265619	0.17522964371558092	0.6883113541123798	63
9	0.05226519205115869	0.11310998698618754	0.12513778242614268	0.08137316680736971	0.24178527261549154	0.2019356623124865	0.013839879064458141	0.17055305773670487	0.9069311702832611	64
