sample_id	stage	module	adjustment	rho_mapk_module_panel	p	n	n_module_genes
GSM7980860_N-1	PT	MAPK_all9	raw	0.21004020821197517	2.201637374241952e-18	1698	9
GSM7980860_N-1	PT	MAPK_all9	full	0.025896923782065505	0.2861876219212837	1698	9
GSM7980860_N-1	PT	feedback_DUSP_SPRY	raw	0.13018008132685072	7.314226924837188e-08	1698	5
GSM7980860_N-1	PT	feedback_DUSP_SPRY	full	-0.02702402225908823	0.26572708452484484	1698	5
GSM7980860_N-1	PT	transcriptional_ETV_PHLDA1	raw	0.19348249401369372	8.763770714285023e-16	1698	3
GSM7980860_N-1	PT	transcriptional_ETV_PHLDA1	full	0.002446335788882145	0.919763545485479	1698	3
GSM7980860_N-1	PT	no_CCND1	raw	0.1878422920865342	5.9857795866646015e-15	1698	8
GSM7980860_N-1	PT	no_CCND1	full	-0.0193533570975808	0.4254642792645206	1698	8
GSM7980860_N-1	PT	CCND1_only	raw	0.1808308144271003	6.006179378831097e-14	1698	1
GSM7980860_N-1	PT	CCND1_only	full	0.047949814657505786	0.0482069544430878	1698	1
GSM7980861_N-2	PT	MAPK_all9	raw	0.11130460767223016	1.2299631747965999e-06	1890	9
GSM7980861_N-2	PT	MAPK_all9	full	-0.023938360513186686	0.29826559688376775	1890	9
GSM7980861_N-2	PT	feedback_DUSP_SPRY	raw	0.06349551830347824	0.005755892349928026	1890	5
GSM7980861_N-2	PT	feedback_DUSP_SPRY	full	-0.011361343693006397	0.6215790259698281	1890	5
GSM7980861_N-2	PT	transcriptional_ETV_PHLDA1	raw	0.10840505557197175	2.3167893211252403e-06	1890	3
GSM7980861_N-2	PT	transcriptional_ETV_PHLDA1	full	0.0064805159219955685	0.7782875407633527	1890	3
GSM7980861_N-2	PT	no_CCND1	raw	0.11324977560491677	7.971435740824009e-07	1890	8
GSM7980861_N-2	PT	no_CCND1	full	-0.02332767159615464	0.31076543747741153	1890	8
GSM7980861_N-2	PT	CCND1_only	raw	0.06530304970290922	0.004509275942423046	1890	1
GSM7980861_N-2	PT	CCND1_only	full	-0.002517485639817916	0.9129064377485492	1890	1
GSM7980862_N-3	PT	MAPK_all9	raw	0.11773947710384063	1.856280435559378e-08	2269	9
GSM7980862_N-3	PT	MAPK_all9	full	0.006273923012263759	0.7651762502507735	2269	9
GSM7980862_N-3	PT	feedback_DUSP_SPRY	raw	0.08594111584925321	4.148484186325749e-05	2269	5
GSM7980862_N-3	PT	feedback_DUSP_SPRY	full	-0.024536538176811312	0.2426834283484606	2269	5
GSM7980862_N-3	PT	transcriptional_ETV_PHLDA1	raw	0.12311977768927156	4.008160504456113e-09	2269	3
GSM7980862_N-3	PT	transcriptional_ETV_PHLDA1	full	0.022065262946669693	0.29343961536006724	2269	3
GSM7980862_N-3	PT	no_CCND1	raw	0.12142198183245168	6.548589132386359e-09	2269	8
GSM7980862_N-3	PT	no_CCND1	full	0.012146999185089671	0.5630528767519323	2269	8
GSM7980862_N-3	PT	CCND1_only	raw	0.060820698876654734	0.003752857202450049	2269	1
GSM7980862_N-3	PT	CCND1_only	full	-0.007682819342169753	0.7145387094015956	2269	1
GSM7980863_N-4	PT	MAPK_all9	raw	0.08201922930832989	0.0014025411779453772	1514	9
GSM7980863_N-4	PT	MAPK_all9	full	0.004370793942546801	0.8650662840253772	1514	9
GSM7980863_N-4	PT	feedback_DUSP_SPRY	raw	0.09387031361225989	0.0002546176906884009	1514	5
GSM7980863_N-4	PT	feedback_DUSP_SPRY	full	-0.026471557724764592	0.3033189924954272	1514	5
GSM7980863_N-4	PT	transcriptional_ETV_PHLDA1	raw	0.055729623010641785	0.030132647146358552	1514	3
GSM7980863_N-4	PT	transcriptional_ETV_PHLDA1	full	0.0011977184433316892	0.962859981265314	1514	3
GSM7980863_N-4	PT	no_CCND1	raw	0.08195443055319424	0.0014148929995828241	1514	8
