cell_type	cohen_d	GSE76039_mean	Lee_normal_mean	n_advanced	n_normal
Endothelial cell	-2.679922228324851	0.06251833677076234	0.10439581289347667	37	263
Myeloid cell	2.345765499235316	0.24001298209124367	0.20924472309181588	37	263
Epithelial cell	-2.044692347232114	0.04406911239449929	0.10887773285278043	37	263
Malignant cell	2.023358042154952	0.28012485315741753	0.24132795725038172	37	263
T cell	1.7591781789735919	0.22596379124614155	0.17467624985242297	37	263
NK cell	0.7398114892899984	0.01745753788932858	0.010943701242518361	37	263
B cell	-0.5405971898700739	0.05159707677602925	0.06269730883433963	37	263
Fibroblast	-0.46651999858023746	0.07825630967457786	0.08783651398226401	37	263
