bin	B cell	Endothelial cell	Epithelial cell	Fibroblast	Malignant cell	Myeloid cell	NK cell	T cell	mean_score	n
0	0.04887873748819241	0.11210939574382298	0.050321479162396474	0.08112384863281405	0.324341771441146	0.23551096454830492	0.034828504954660104	0.11288529802866273	5.804513183339692	52
1	0.05212777855681743	0.11554001924730177	0.057739381904891196	0.07585700081687435	0.31518435947477197	0.23429755145853878	0.03182515979708847	0.11742874874371567	6.400319703382795	51
2	0.05525787189603839	0.12173008270486256	0.06033007293681092	0.07911382074856467	0.30949585423203835	0.22901438286394243	0.03471632107455439	0.11034159354318795	6.643605886970205	51
3	0.052730266636305964	0.12876698820616697	0.06385084039430103	0.07632585975450988	0.30758261961176897	0.23174359845999606	0.03807139709677163	0.10092842984017913	6.876635541368119	51
4	0.04725940635031494	0.124092139713006	0.07132893540029585	0.06723505158606548	0.30897330332269174	0.22920057268960986	0.03781575757985232	0.11409483335816349	7.118715982045773	52
5	0.05309535896863808	0.1314900727989643	0.07542618198158177	0.07297853999911794	0.2970541109392359	0.22722027306414794	0.036423201889957645	0.10631226035835613	7.424542250428244	51
6	0.05452151565980079	0.13285364194791083	0.08339443313660136	0.08078842480811936	0.2920153248423178	0.21839623128645827	0.03304056063770249	0.1049898676810888	7.851630640570937	51
7	0.053761678762794474	0.13253705375691852	0.09503275373754856	0.07567167715308344	0.2731387523687584	0.2211395369599033	0.039500080488918156	0.10921846677207486	8.328954743476475	51
8	0.05230501658208031	0.1326562743333022	0.10554607631060736	0.07302827961769842	0.26757313431690566	0.212848139224646	0.03308419402566692	0.12295888558909283	8.832096154385438	51
9	0.04728313843022187	0.13895435730428207	0.11725579981207307	0.07229337486247858	0.25172688846956276	0.20573924733824775	0.030082543416843445	0.13666465036629016	9.517551124714858	52
