fusion_class	gene	fc_mean	no_mean	cohen_d_vs_no	p	n_fc	n_no
RET_fusion	DIO1	0.5641428571428571	0.5218967741935484	0.2024124481385047	0.45893310156078226	35	341
RET_fusion	FOXE1	0.09417142857142856	0.08594662756598241	0.15953377957305978	0.1398591506167264	35	341
RET_fusion	NKX2-1	0.05053428571428571	0.053065689149560114	-0.031184248695991356	0.17037141329681604	35	341
RET_fusion	PAX8	0.08339142857142856	0.07071407624633431	0.27494603086713576	0.02668405830204854	35	341
RET_fusion	SLC5A5	0.6002799999999999	0.5827753665689149	0.1642371379081393	0.6969122604059299	35	341
RET_fusion	TG	0.6525542857142858	0.6484785923753666	0.02759399786153407	0.997393974956113	35	341
RET_fusion	TPO	0.87722	0.8527771260997068	0.19311680542518853	0.7421043762465493	35	341
RET_fusion	TSHR	0.17542285714285713	0.15335806451612902	0.21167915380063027	0.11187737038610014	35	341
RET_fusion	mean_8g_beta	0.3872146428571428	0.3711265395894428	0.2870760653944507	0.06322084886228926	35	341
NTRK_fusion	DIO1	0.5754454545454546	0.5218967741935484	0.25589539885896145	0.29204108938034123	11	341
NTRK_fusion	FOXE1	0.07863636363636363	0.08594662756598241	-0.1421497856211514	0.9400067994907454	11	341
NTRK_fusion	NKX2-1	0.04531818181818182	0.053065689149560114	-0.09515180522588629	0.6977514512599245	11	341
NTRK_fusion	PAX8	0.06767272727272727	0.07071407624633431	-0.06718539528018098	0.8038536836378669	11	341
NTRK_fusion	SLC5A5	0.5514181818181818	0.5827753665689149	-0.28664785292219686	0.18731102655396104	11	341
NTRK_fusion	TG	0.5950272727272726	0.6484785923753666	-0.3558162994027052	0.15842401836966558	11	341
NTRK_fusion	TPO	0.8514909090909092	0.8527771260997068	-0.009848601943263452	0.639695386889378	11	341
NTRK_fusion	TSHR	0.16804545454545455	0.15335806451612902	0.1417598638899774	0.3600996891942747	11	341
NTRK_fusion	mean_8g_beta	0.36663181818181817	0.3711265395894428	-0.0791477683176237	0.9376121351281655	11	341
BRAF_fusion	DIO1	0.49289999999999995	0.5218967741935484	-0.13857758458143313	0.5738490494917645	9	341
BRAF_fusion	FOXE1	0.07677777777777778	0.08594662756598241	-0.177392909246517	0.46481248685354504	9	341
BRAF_fusion	NKX2-1	0.04382222222222222	0.053065689149560114	-0.11318371145559539	0.9348260529294972	9	341
BRAF_fusion	PAX8	0.0670222222222222	0.07071407624633431	-0.08130852006913929	0.9507646253204093	9	341
BRAF_fusion	SLC5A5	0.5066111111111111	0.5827753665689149	-0.6910667155630881	0.21070982416259254	9	341
BRAF_fusion	TG	0.7217111111111111	0.6484785923753666	0.4861898185177545	0.2218683924890854	9	341
BRAF_fusion	TPO	0.8124222222222223	0.8527771260997068	-0.30562231220919445	0.7160049719109453	9	341
BRAF_fusion	TSHR	0.1346	0.15335806451612902	-0.18104316900733652	0.6014331554563364	9	341
BRAF_fusion	mean_8g_beta	0.3569833333333333	0.3711265395894428	-0.24748768791351072	0.3928642290890081	9	341
ALK_fusion	DIO1	0.5044000000000001	0.5218967741935484	-0.08365458682837355	0.7766175584846551	5	341
ALK_fusion	FOXE1	0.09268	0.08594662756598241	0.13023957789522667	0.36414873131720393	5	341
ALK_fusion	NKX2-1	0.03176	0.053065689149560114	-0.261114574439957	0.5268774559410305	5	341
ALK_fusion	PAX8	0.06638000000000001	0.07071407624633431	-0.0953273700260083	0.9892201018033255	5	341
ALK_fusion	SLC5A5	0.5796	0.5827753665689149	-0.02911659469741217	0.9050005902775533	5	341
ALK_fusion	TG	0.6739999999999999	0.6484785923753666	0.16941530885706013	0.7904586752105098	5	341
ALK_fusion	TPO	0.8683799999999999	0.8527771260997068	0.11924283861489658	0.8818529980581685	5	341
ALK_fusion	TSHR	0.17364	0.15335806451612902	0.19531383424630394	0.38473537667080926	5	341
ALK_fusion	mean_8g_beta	0.373855	0.3711265395894428	0.048125247629406474	0.8008833853954811	5	341
