stage	subset	n_spots	rho_mapk_panel	p_mapk_panel
PT	all_spots	14740	0.16540762031935968	6.582389533179009e-91
PT	all_spots_resid_epithelial	14740	0.12392686595068035	1.5535252028216645e-51
PT	epithelial_enriched	7371	0.13585219095683682	1.0566466668891418e-31
PT	epithelial_enriched_resid_epithelial	7371	0.13391017568211577	7.6545967617867414e-31
PTC	all_spots	16223	0.2594130168599657	9.846675232298674e-248
PTC	all_spots_resid_epithelial	16223	0.14638233360013816	2.1564519220044754e-78
PTC	epithelial_enriched	8112	0.10371015318208147	7.630525070467409e-21
PTC	epithelial_enriched_resid_epithelial	8112	0.10708518552079713	3.9991529633475676e-22
LPTC	all_spots	13634	0.5153377262148092	0.0
LPTC	all_spots_resid_epithelial	13634	0.3389672181483896	0.0
LPTC	epithelial_enriched	6818	0.38757731540497065	3.017682717666995e-243
LPTC	epithelial_enriched_resid_epithelial	6818	0.36001719222927187	9.31774650736762e-208
ATC	all_spots	11276	0.13893510543166548	1.030781317548328e-49
ATC	all_spots_resid_epithelial	11276	0.08484759210196434	1.7950139216679246e-19
ATC	epithelial_enriched	5639	0.08025375995610948	1.5904408012728148e-09
ATC	epithelial_enriched_resid_epithelial	5639	0.08468080080705537	1.9027596501462688e-10
TUMOR_ONLY	tumor_all_spots	41133	0.33522573836933034	0.0
TUMOR_ONLY	tumor_all_spots_resid_epithelial	41133	0.2004286653677799	0.0
TUMOR_ONLY	tumor_epithelial_enriched	20569	0.2084714557067105	9.658555435277773e-201
TUMOR_ONLY	tumor_epithelial_enriched_resid_epithelial	20569	0.2019320003642365	3.249843022390122e-188
