cell_type	tumor_mean	normal_mean	cohen_d	p	n_tumor	n_normal
Epithelial cell	0.059579074667927175	0.10887773285278048	-1.5123844468104544	3.7267797175590495e-53	369	263
Malignant cell	0.2791096102058116	0.24132795725038178	1.4200009730337848	5.985203624992431e-52	369	263
Myeloid cell	0.2290126498402529	0.2092447230918159	1.3601403995646464	5.2664350322263375e-52	369	263
Endothelial cell	0.09088659025333341	0.10439581289347671	-0.7506674715865257	1.8776656382881254e-22	369	263
NK cell	0.01319316510258837	0.010943701242518398	0.24511848804734945	0.001148214681316691	369	263
T cell	0.18072002187868422	0.17467624985242303	0.16445296223906125	2.741978885105161e-05	369	263
Fibroblast	0.08365981056049708	0.08783651398226407	-0.14514090009985656	9.619767214035587e-05	369	263
B cell	0.06383907749090527	0.06269730883433966	0.05943720785371819	0.03843259620985652	369	263
