group	n	n_unique_dm1_scores	rho_dm1_vs_mapk_lfc	p	high_vs_low_cohens_d_lfc	median_lfc	lineage
all_nonmissing	690	25	-0.2362378563737012	3.3133764303440103e-10	-0.6172942467534369	-1.0678695823934103	all_nonmissing
exclude_thyroid	680	24	-0.24006459164777255	2.2744196662073642e-10	-0.6218223378881963	-1.0644588775914259	exclude_thyroid
lineage_Biliary Tract	28	1			0.0	-1.601011992682538	Biliary Tract
lineage_Bladder/Urinary Tract	28	1			0.0	-1.4381448323978125	Bladder/Urinary Tract
lineage_Bowel	35	1			0.0	-1.721376291176038	Bowel
lineage_Breast	28	1			0.0	-0.5595762391733308	Breast
lineage_CNS/Brain	57	1			0.0	-0.5335607264204091	CNS/Brain
lineage_Cervix	12	1			0.0	-1.255907107823935	Cervix
lineage_Esophagus/Stomach	50	1			0.0	-1.1886802727823136	Esophagus/Stomach
lineage_Head and Neck	38	1			0.0	-1.352341229380308	Head and Neck
lineage_Kidney	21	1			0.0	-0.6617685646147058	Kidney
lineage_Liver	20	1			0.0	-0.9877874165493827	Liver
lineage_Lung	86	1			0.0	-0.9665356743015416	Lung
lineage_Lymphoid	42	1			0.0	-0.7816095614251997	Lymphoid
lineage_Myeloid	24	1			0.0	-1.982147483690993	Myeloid
lineage_Ovary/Fallopian Tube	38	1			0.0	-0.8561680606570059	Ovary/Fallopian Tube
lineage_Pancreas	38	1			0.0	-1.5291808051825808	Pancreas
lineage_Peripheral Nervous System	16	1			0.0	-1.8560415071228435	Peripheral Nervous System
lineage_Pleura	10	1			0.0	-0.659076686715042	Pleura
lineage_Skin	41	1			0.0	-2.254679687042013	Skin
lineage_Soft Tissue	27	1			0.0	-0.9803196973012184	Soft Tissue
lineage_Thyroid	10	1			0.0	-1.1227532174254848	Thyroid
lineage_Uterus	29	1			0.0	-0.724416343660226	Uterus
