decile	mapk_mean	panel_mean	tds16_mean	tds8only_mean	n	cohort
0	-1.4304740167822538	0.589346204811115	0.5626471407460627	0.5359480766810103	58	TCGA-THCA
1	-0.8126822923141847	0.4182376621221652	0.43752803103590443	0.45681839994964357	57	TCGA-THCA
2	-0.29480054978313974	0.048012805762424574	0.026094198837293633	0.004175591912162675	57	TCGA-THCA
3	-0.06945561749785861	-0.11442309352881354	-0.13347506334918646	-0.15252703316955935	57	TCGA-THCA
4	0.06632352647126054	-0.20635487937476227	-0.18450505662388092	-0.1626552338729996	57	TCGA-THCA
5	0.17787559252248383	-0.09915815852827614	-0.10219887255372534	-0.10523958657917455	57	TCGA-THCA
6	0.3006070108955784	-0.1867582094511069	-0.16989201317415709	-0.15302581689720723	57	TCGA-THCA
7	0.4465078205167309	-0.245612883362278	-0.2534994418597383	-0.26138600035719867	57	TCGA-THCA
8	0.6210320635275274	-0.1309279084423898	-0.14108494564804666	-0.15124198285370352	57	TCGA-THCA
9	1.002573489242783	-0.08127506871156374	-0.05059730781285077	-0.019919546914137786	58	TCGA-THCA
0	-1.1833658136693481	0.09908627046879313	0.18266237134717506	0.2662384722255571	64	Lee_GSE213647
1	-0.7313637691130251	0.10125224711366834	0.15303575581918155	0.20481926452469484	63	Lee_GSE213647
2	-0.5075497399738523	0.2815895923158547	0.23154295973811898	0.1814963271603832	63	Lee_GSE213647
3	-0.3280444805254816	0.34783965798502237	0.2850562474228509	0.22227283686067942	63	Lee_GSE213647
4	-0.1698722696551125	0.18566731856038027	0.1559197799375325	0.12617224131468477	63	Lee_GSE213647
5	-0.00939021732277247	0.13267715292860616	0.1322909711842891	0.131904789439972	63	Lee_GSE213647
6	0.25747946213469036	-0.06405364783359575	-0.09074263545882467	-0.1174316230840536	63	Lee_GSE213647
7	0.609730981256768	-0.35994235068167363	-0.3576841550400926	-0.3554259593985116	63	Lee_GSE213647
8	0.8692786514171995	-0.43188709554499316	-0.43085852670268543	-0.42982995786037775	63	Lee_GSE213647
9	1.1929451426105913	-0.28921128789262707	-0.2599952620459743	-0.23077923619932153	64	Lee_GSE213647
