contrast	score	cohen_d	p	n_a	n_b
BRAF_V600E_vs_driver_neg	mapk	1.0996221165152205	1.597829466632644e-15	344	103
BRAF_V600E_vs_driver_neg	panel	-0.9001497676967642	9.506761237221456e-15	344	103
BRAF_V600E_vs_driver_neg	tds16	-0.9955063065749644	2.501724682631924e-16	344	103
BRAF_V600E_vs_driver_neg	tds8only	-0.9994436456570018	8.702175676855627e-17	344	103
RAS_mut_vs_driver_neg	mapk	0.5721053163530057	0.0003630953738893298	61	103
RAS_mut_vs_driver_neg	panel	0.39327519484360923	0.13439684822344497	61	103
RAS_mut_vs_driver_neg	tds16	0.380696999317904	0.16823177043314397	61	103
RAS_mut_vs_driver_neg	tds8only	0.3212147261121145	0.1902422105866679	61	103
RET_fusion_vs_driver_neg	mapk	1.395593600419312	1.6251598090021695e-11	43	103
RET_fusion_vs_driver_neg	panel	-0.2613829109981262	0.006489183478041205	43	103
RET_fusion_vs_driver_neg	tds16	-0.4030867618067245	0.0003659748308971902	43	103
RET_fusion_vs_driver_neg	tds8only	-0.5398198444537406	0.00012176536108850936	43	103
BRAF_V600E_vs_RAS_mut	mapk	0.48475695480543923	9.506148909065154e-05	344	61
BRAF_V600E_vs_RAS_mut	panel	-1.6152576569897215	2.9888165269127712e-21	344	61
BRAF_V600E_vs_RAS_mut	tds16	-1.6162510084231583	5.677482885625483e-22	344	61
BRAF_V600E_vs_RAS_mut	tds8only	-1.4402990934236555	5.703816439304263e-20	344	61
BRAF_V600E_vs_RET_fusion	mapk	-0.6651754299039149	0.00011884552017492583	344	43
BRAF_V600E_vs_RET_fusion	panel	-0.6653488827489553	4.834705554549274e-07	344	43
BRAF_V600E_vs_RET_fusion	tds16	-0.5831692124801963	4.6555855703868574e-07	344	43
BRAF_V600E_vs_RET_fusion	tds8only	-0.4413992200590816	0.0003677741752428946	344	43
