gene	cell_type	spearman_r	p	n
DIO1	B cell	0.1576293056607455	0.00016189829625666346	568
DIO1	Endothelial cell	-0.01203532428481463	0.7747147046894616	568
DIO1	Epithelial cell	-0.138973357482	0.0008971176894003855	568
DIO1	Fibroblast	0.16813941773527574	5.646851701395368e-05	568
DIO1	Malignant cell	0.12426924658011099	0.003010529831290879	568
DIO1	Myeloid cell	0.14180490573611412	0.0007007181836665359	568
DIO1	NK cell	0.05582780905972175	0.1839682457756688	568
DIO1	T cell	-0.25176386190281397	1.1627575198619085e-09	568
FOXE1	B cell	0.310833082284767	3.448729198645647e-14	568
FOXE1	Endothelial cell	0.02554635149340087	0.5434542911315904	568
FOXE1	Epithelial cell	-0.07465571805540962	0.07543455867320854	568
FOXE1	Fibroblast	0.3693304168674861	8.49144418922263e-20	568
FOXE1	Malignant cell	0.04133288956576514	0.32544670321202374	568
FOXE1	Myeloid cell	0.3276486245886328	1.1119218229005063e-15	568
FOXE1	NK cell	-0.04415592503518527	0.29346471060688994	568
FOXE1	T cell	-0.49861988369126614	4.934833796649749e-37	568
NKX2-1	B cell	0.31265797551124186	2.400524763707175e-14	568
NKX2-1	Endothelial cell	0.015206749303019339	0.7176201803014033	568
NKX2-1	Epithelial cell	-0.0017650825635900302	0.9665193174039569	568
NKX2-1	Fibroblast	0.3111037338499398	3.26881737792137e-14	568
NKX2-1	Malignant cell	0.02886923554286327	0.49229655278492046	568
NKX2-1	Myeloid cell	0.270929515630378	5.1696761023510894e-11	568
NKX2-1	NK cell	-0.038770609867590726	0.3563608809867418	568
NKX2-1	T cell	-0.4880431363712251	2.498652029687708e-35	568
PAX8	B cell	0.2957217513242578	6.298961981538254e-13	568
PAX8	Endothelial cell	0.03137240444017842	0.4555301378985965	568
PAX8	Epithelial cell	-0.10278602895926371	0.014255044799052242	568
PAX8	Fibroblast	0.3885470381033451	6.56281802312634e-22	568
PAX8	Malignant cell	0.059595087028708325	0.15606032977927248	568
PAX8	Myeloid cell	0.34897452565883796	1.0386918283692624e-17	568
PAX8	NK cell	0.0331062856867024	0.4309941550035173	568
PAX8	T cell	-0.5423696309875089	9.381311766533678e-45	568
SLC5A5	B cell	-0.04138073158644808	0.3248865408968054	568
SLC5A5	Endothelial cell	0.00195870797242041	0.962849082581496	568
SLC5A5	Epithelial cell	-0.05414366256309564	0.19757370180717623	568
SLC5A5	Fibroblast	-0.10108857728218199	0.015948674568484606	568
SLC5A5	Malignant cell	0.03799442278038841	0.36607855409267714	568
SLC5A5	Myeloid cell	0.061530940387800936	0.14302760668866418	568
SLC5A5	NK cell	0.017855578469131304	0.671096250099412	568
SLC5A5	T cell	0.04068216066623265	0.33312798243789227	568
TG	B cell	0.06044589040114447	0.1502258818079714	568
TG	Endothelial cell	-0.19254098136990302	3.800800220186372e-06	568
TG	Epithelial cell	-0.18829568852063575	6.236906813062931e-06	568
TG	Fibroblast	0.12200942442719484	0.0035877577417576176	568
TG	Malignant cell	0.18408019110622664	1.0088953661197702e-05	568
TG	Myeloid cell	0.21792990060815376	1.5577042613943214e-07	568
TG	NK cell	-0.003408726095109092	0.9353937677026285	568
TG	T cell	-0.16504977772276277	7.748107827256307e-05	568
TPO	B cell	-0.02890432812838934	0.4917703736090335	568
TPO	Endothelial cell	-0.17986012757015318	1.6153997452949723e-05	568
TPO	Epithelial cell	-0.45517777359502587	2.13617440874301e-30	568
TPO	Fibroblast	-0.047183469179152324	0.26158193869895474	568
TPO	Malignant cell	0.4911214704823177	8.086522614500185e-36	568
TPO	Myeloid cell	0.23636316487597014	1.1857634051411682e-08	568
TPO	NK cell	0.09823198253877485	0.01919887823649899	568
TPO	T cell	-0.07816575572961981	0.06265240953168963	568
TSHR	B cell	0.32591503463063104	1.6003269146984546e-15	568
TSHR	Endothelial cell	-0.03833479194616628	0.3617970854047733	568
TSHR	Epithelial cell	-0.17805203706452635	1.969915221432142e-05	568
TSHR	Fibroblast	0.3712777830701829	5.26411441120812e-20	568
TSHR	Malignant cell	0.16119396847162953	0.00011408820485990608	568
TSHR	Myeloid cell	0.40830059299262794	3.1334799434820766e-24	568
TSHR	NK cell	0.04276022832616558	0.309003984442342	568
TSHR	T cell	-0.5765697884557313	1.2446944239823673e-51	568
mean_8g_beta	B cell	0.2657909927091116	1.2209222106153833e-10	568
mean_8g_beta	Endothelial cell	-0.1412810657959588	0.0007337427573592529	568
mean_8g_beta	Epithelial cell	-0.3141061807535933	1.7974532965856152e-14	568
mean_8g_beta	Fibroblast	0.23480868730292462	1.4859806153711141e-08	568
mean_8g_beta	Malignant cell	0.30306471907025634	1.5681400664340585e-13	568
mean_8g_beta	Myeloid cell	0.3853624474299692	1.5025872571410183e-21	568
mean_8g_beta	NK cell	0.02301158156124268	0.5841770377240152	568
mean_8g_beta	T cell	-0.41920216271648136	1.4028141396751344e-25	568
