mapk_gene	panel_gene	median_rho	mean_rho	n_samples	n_negative	n_positive	frac_negative	binom_p_negative	binom_fdr_negative
CCND1	TPO	-0.09554899861330125	-0.07968477400353333	12	10	1	0.8333333333333334	0.019287109375	0.6943359375
DUSP6	TPO	-0.07191094853432985	-0.07201315293423351	12	10	1	0.8333333333333334	0.019287109375	0.6943359375
ETV5	TPO	-0.040653764070138106	-0.002764460216691311	12	8	3	0.6666666666666666	0.19384765625	0.999755859375
CCND1	TG	-0.0391753814328545	-0.03733883417308492	12	9	3	0.75	0.072998046875	0.8759765625
PHLDA1	TSHR	-0.03902333754560275	-0.01116183615422292	12	7	4	0.5833333333333334	0.38720703125	0.999755859375
CCND1	TSHR	-0.037796690449478795	-0.030033530138262255	12	9	2	0.75	0.072998046875	0.8759765625
DUSP6	SLC5A5	-0.0366022928453953	-0.02753889994108597	12	6	1	0.5	0.61279296875	0.999755859375
SPRY4	NKX2-1	-0.03633422893599851	-0.051550187122507245	12	7	4	0.5833333333333334	0.38720703125	0.999755859375
PHLDA1	DIO1	-0.03513642172046169	-0.031300512811170765	12	8	3	0.6666666666666666	0.19384765625	0.999755859375
SPRY4	TSHR	-0.027612253132669483	-0.05176355675435911	12	8	3	0.6666666666666666	0.19384765625	0.999755859375
ETV4	DIO1	-0.027263205420941006	-0.020329130077012945	12	6	5	0.5	0.61279296875	0.999755859375
DUSP5	DIO1	-0.02681481207453532	-0.029807129301631863	12	9	2	0.75	0.072998046875	0.8759765625
PHLDA1	TPO	-0.02303963517177217	-0.021018506693980123	12	6	5	0.5	0.61279296875	0.999755859375
DUSP4	NKX2-1	-0.021422609335031106	-0.007963798936499514	12	7	4	0.5833333333333334	0.38720703125	0.999755859375
CCND1	DIO1	-0.021372123639927028	-0.013889698290837436	12	6	5	0.5	0.61279296875	0.999755859375
SPRY2	TSHR	-0.019382572266630878	-0.06993921858927338	12	6	5	0.5	0.61279296875	0.999755859375
DUSP5	TPO	-0.018393071259665588	-0.029289119557778156	12	9	2	0.75	0.072998046875	0.8759765625
SPRY2	SLC5A5	-0.01704185935648476	0.026922341252918026	12	4	3	0.3333333333333333	0.927001953125	0.999755859375
DUSP6	DIO1	-0.01568042392779166	-0.0331683513738836	12	7	4	0.5833333333333334	0.38720703125	0.999755859375
DUSP5	TG	-0.014215378955195885	-0.029740228455644575	12	8	4	0.6666666666666666	0.19384765625	0.999755859375
SPRY2	NKX2-1	-0.014084285307478803	-0.045017725201017836	12	8	3	0.6666666666666666	0.19384765625	0.999755859375
PHLDA1	FOXE1	-0.013970109287905774	-0.009664614178324217	12	7	5	0.5833333333333334	0.38720703125	0.999755859375
SPRY2	PAX8	-0.009115530488228206	-0.010857477954705957	12	7	5	0.5833333333333334	0.38720703125	0.999755859375
DUSP4	TSHR	-0.008474922191239891	-0.03441334046532057	12	8	3	0.6666666666666666	0.19384765625	0.999755859375
ETV4	SLC5A5	-0.008077195365794399	0.00710930641478945	12	4	3	0.3333333333333333	0.927001953125	0.999755859375
PHLDA1	SLC5A5	-0.007416564473597926	-0.014326489993439927	12	5	2	0.4166666666666667	0.80615234375	0.999755859375
DUSP6	TG	-0.006626114020606117	-0.017511084993616064	12	7	5	0.5833333333333334	0.38720703125	0.999755859375
CCND1	SLC5A5	-0.006574660036039703	-0.01661681098755219	12	4	3	0.3333333333333333	0.927001953125	0.999755859375
ETV5	DIO1	-0.0061110498763783175	0.001886375567167944	12	6	5	0.5	0.61279296875	0.999755859375
PHLDA1	TG	-0.002523403825698673	0.001502493432215292	12	6	6	0.5	0.61279296875	0.999755859375
DUSP5	PAX8	0.0007960377383059848	-0.00029603583576709853	12	6	6	0.5	0.61279296875	0.999755859375
ETV4	TSHR	0.001344402668089032	-0.01296726621211883	12	5	6	0.4166666666666667	0.80615234375	0.999755859375
SPRY2	TG	0.0023942471258015874	-0.026903026920610335	12	6	6	0.5	0.61279296875	0.999755859375
ETV4	NKX2-1	0.002801783664233053	0.015152952835040466	12	5	6	0.4166666666666667	0.80615234375	0.999755859375
DUSP5	TSHR	0.0030173004370972123	0.004562423957501673	12	5	6	0.4166666666666667	0.80615234375	0.999755859375
PHLDA1	PAX8	0.005063410377596576	0.008235294285458737	12	6	6	0.5	0.61279296875	0.999755859375
DUSP6	FOXE1	0.005305470271567866	-0.00601747311898927	12	5	7	0.4166666666666667	0.80615234375	0.999755859375
DUSP4	PAX8	0.005498378905742137	0.020006859583119253	12	5	7	0.4166666666666667	0.80615234375	0.999755859375
CCND1	PAX8	0.006847540911143974	0.010036239941162125	12	6	6	0.5	0.61279296875	0.999755859375
DUSP5	FOXE1	0.007107309988026772	0.010457899312063229	12	5	7	0.4166666666666667	0.80615234375	0.999755859375
PHLDA1	NKX2-1	0.008599954343579401	0.01121709355064917	12	5	6	0.4166666666666667	0.80615234375	0.999755859375
CCND1	FOXE1	0.009118588005288213	0.0036944964445909064	12	5	7	0.4166666666666667	0.80615234375	0.999755859375
SPRY4	PAX8	0.009471393993198771	0.04516102664835831	12	6	6	0.5	0.61279296875	0.999755859375
ETV5	PAX8	0.009607740959427036	0.015227874200656848	12	5	7	0.4166666666666667	0.80615234375	0.999755859375
DUSP6	PAX8	0.010929277730200377	0.007077851642365917	12	4	8	0.3333333333333333	0.927001953125	0.999755859375
CCND1	NKX2-1	0.014270129839785456	0.013063083856553564	12	4	7	0.3333333333333333	0.927001953125	0.999755859375
DUSP4	TPO	0.015394115440906964	0.08619987133861445	12	4	7	0.3333333333333333	0.927001953125	0.999755859375
DUSP5	SLC5A5	0.016736575142991608	0.015448420192071214	12	3	4	0.25	0.980712890625	0.999755859375
ETV4	PAX8	0.019345420855944026	0.0549690179378649	12	1	11	0.08333333333333333	0.999755859375	0.999755859375
SPRY4	SLC5A5	0.019832212502186655	0.006840913448571018	12	3	4	0.25	0.980712890625	0.999755859375
ETV5	TSHR	0.02244556320581924	0.007361646554235854	12	4	7	0.3333333333333333	0.927001953125	0.999755859375
SPRY4	TG	0.022988879310053348	0.008198764937213025	12	5	7	0.4166666666666667	0.80615234375	0.999755859375
DUSP5	NKX2-1	0.024461835250662426	0.02100314086542101	12	2	9	0.16666666666666666	0.996826171875	0.999755859375
DUSP4	SLC5A5	0.027777097173009586	0.013621598332994134	12	3	4	0.25	0.980712890625	0.999755859375
SPRY4	FOXE1	0.028113770139656845	0.06163410847820248	12	2	10	0.16666666666666666	0.996826171875	0.999755859375
