set	criterion	n_hit	n_canonical_mapk	n_mapk_pi3k_axis	canonical_mapk_fraction	mapk_pi3k_fraction	canonical_fold_enrichment	mapk_pi3k_fold_enrichment	canonical_hypergeom_p	mapk_pi3k_hypergeom_p
top_5	top_k	5	5	5	1.0	1.0	168.66666666666669	151.8	1.8882379832215893e-12	3.776475966443179e-12
top_7	top_k	7	7	7	1.0	1.0	168.66666666666669	151.8	9.90483525436476e-18	3.30161175145492e-17
top_10	top_k	10	7	7	0.7	0.7	118.06666666666666	106.25999999999999	1.1844529155708497e-15	3.941309677397652e-15
top_11	top_k	11	7	8	0.6363636363636364	0.7272727272727273	107.33333333333334	110.4	3.2534666027044615e-15	1.0777822007980258e-17
top_15	top_k	15	8	9	0.5333333333333333	0.6	89.95555555555556	91.08	8.40171710658609e-17	4.3299511776315125e-19
top_25	top_k	25	8	9	0.32	0.36	53.973333333333336	54.647999999999996	1.4037875763896077e-14	1.7568497886582893e-16
top_50	top_k	50	9	10	0.18	0.2	30.36	30.360000000000003	2.1752979728554438e-14	5.910352345067804e-16
top_100	top_k	100	9	10	0.09	0.1	15.18	15.180000000000001	1.6515787253574762e-11	9.95981868837179e-13
fdr_lt_0.001	fdr_threshold	8	7	7	0.875	0.875	147.58333333333334	132.82500000000002	7.914690990152226e-17	2.6367007944941457e-16
fdr_lt_0.01	fdr_threshold	11	7	8	0.6363636363636364	0.7272727272727273	107.33333333333334	110.4	3.2534666027044615e-15	1.0777822007980258e-17
fdr_lt_0.05	fdr_threshold	11	7	8	0.6363636363636364	0.7272727272727273	107.33333333333334	110.4	3.2534666027044615e-15	1.0777822007980258e-17
fdr_lt_0.1	fdr_threshold	16	8	9	0.5	0.5625	84.33333333333334	85.3875	1.6793501637902097e-16	9.891107262002621e-19
