sample_id	stage	subset	mode	ring	rho_MAPK_spot_vs_panel_lag	p_MAPK_spot_vs_panel_lag	n_MAPK_spot_vs_panel_lag	rho_panel_spot_vs_MAPK_lag	p_panel_spot_vs_MAPK_lag	n_panel_spot_vs_MAPK_lag	n_MAPK_genes	n_panel_genes
GSM7980860_N-1	PT	all_spots	raw	same_spot	0.19941166059148166	8.655739598619269e-32	3395	0.19941166059148166	8.655739598619269e-32	3395	9	8
GSM7980860_N-1	PT	all_spots	raw	knn_1_6	0.24235234079432247	1.4212371269187045e-46	3395	0.25365334649801796	5.399003801263387e-51	3395	9	8
GSM7980860_N-1	PT	all_spots	raw	knn_7_18	0.2473649659669708	1.659078707355868e-48	3395	0.29310688987860417	3.0526532676636423e-68	3395	9	8
GSM7980860_N-1	PT	all_spots	raw	knn_19_36	0.25315509539663306	8.550213083307389e-51	3395	0.3362973441114196	1.519323514602601e-90	3395	9	8
GSM7980860_N-1	PT	all_spots	full_spatial_detection_resid	same_spot	0.0879531177531126	2.854727746729353e-07	3395	0.0879531177531126	2.854727746729353e-07	3395	9	8
GSM7980860_N-1	PT	all_spots	full_spatial_detection_resid	knn_1_6	0.14479090338465592	2.2893774489038906e-17	3395	0.11805361113496528	5.193181909037777e-12	3395	9	8
GSM7980860_N-1	PT	all_spots	full_spatial_detection_resid	knn_7_18	0.11459175087553643	2.1349251788765224e-11	3395	0.10962537680840868	1.5090348155447093e-10	3395	9	8
GSM7980860_N-1	PT	all_spots	full_spatial_detection_resid	knn_19_36	0.11651356490614508	9.790043214669542e-12	3395	0.10589052018847976	6.209978280377518e-10	3395	9	8
GSM7980860_N-1	PT	epithelial_top50	raw	same_spot	0.21004020821197517	2.201637374241952e-18	1698	0.2100402082119752	2.201637374241952e-18	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	raw	knn_1_6	0.23330012619459217	2.0117183267571483e-22	1698	0.24784366729740484	3.485588751785276e-25	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	raw	knn_7_18	0.2509665167626829	8.417985254036965e-26	1698	0.2533460425165461	2.81336745955596e-26	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	raw	knn_19_36	0.2512550191333685	7.375064089789592e-26	1698	0.3306212147818424	1.3606588093561458e-44	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	full_spatial_detection_resid	same_spot	0.03834722859367454	0.11420222645290554	1698	0.03834722859367454	0.11420222645290554	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	full_spatial_detection_resid	knn_1_6	0.11526046484455012	1.917837186312596e-06	1698	0.10102133430572721	3.0410239233464295e-05	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	full_spatial_detection_resid	knn_7_18	0.0892391566741165	0.00023150267897949835	1698	0.09243757128749855	0.00013650306269619213	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	full_spatial_detection_resid	knn_19_36	0.09644057045219151	6.881063884962506e-05	1698	0.12210406837618334	4.4949136864867845e-07	1698	9	8
GSM7980861_N-2	PT	all_spots	raw	same_spot	0.21591222285944897	4.0914165507311967e-41	3780	0.215912222859449	4.0914165507309184e-41	3780	9	8
GSM7980861_N-2	PT	all_spots	raw	knn_1_6	0.22036773414455474	8.486218237231096e-43	3780	0.2182610016769076	5.3609479936969415e-42	3780	9	8
GSM7980861_N-2	PT	all_spots	raw	knn_7_18	0.2343051395787341	2.6302283596737662e-48	3780	0.2391697093008456	2.5668768206206e-50	3780	9	8
