sample_id	stage	covariate_family	target	r2	n	n_covariates
GSM7980864_PTC-1	PTC	detection	Panel8_z	0.8126207768828897	1131	2
GSM7980864_PTC-1	PTC	epithelial_qc_microenv	MAPK_z	0.19297751466048652	1131	8
GSM7980864_PTC-1	PTC	epithelial_qc_microenv	Panel8_z	0.2654181856046066	1131	8
GSM7980864_PTC-1	PTC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.8340585525811919	1131	15
GSM7980864_PTC-1	PTC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.8684436827676529	1131	15
GSM7980865_PTC-2	PTC	epithelial	MAPK_z	0.00018279648247687685	2474	1
GSM7980865_PTC-2	PTC	epithelial	Panel8_z	0.03407588333135969	2474	1
GSM7980865_PTC-2	PTC	qc	MAPK_z	0.12465234690849647	2474	3
GSM7980865_PTC-2	PTC	qc	Panel8_z	0.23354284651171753	2474	3
GSM7980865_PTC-2	PTC	microenv	MAPK_z	0.03618897156059886	2474	4
GSM7980865_PTC-2	PTC	microenv	Panel8_z	0.13961151640536362	2474	4
GSM7980865_PTC-2	PTC	spatial	MAPK_z	0.020944085037418736	2474	5
GSM7980865_PTC-2	PTC	spatial	Panel8_z	0.04959672967022544	2474	5
GSM7980865_PTC-2	PTC	detection	MAPK_z	0.7060700171787127	2474	2
GSM7980865_PTC-2	PTC	detection	Panel8_z	0.6953477740733252	2474	2
GSM7980865_PTC-2	PTC	epithelial_qc_microenv	MAPK_z	0.13028908273912043	2474	8
GSM7980865_PTC-2	PTC	epithelial_qc_microenv	Panel8_z	0.30578202924151054	2474	8
GSM7980865_PTC-2	PTC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.7892018274025491	2474	15
GSM7980865_PTC-2	PTC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.7473758758167213	2474	15
GSM7980866_PTC-3	PTC	epithelial	MAPK_z	4.8934763964836314e-05	2258	1
GSM7980866_PTC-3	PTC	epithelial	Panel8_z	0.0037939154665993513	2258	1
GSM7980866_PTC-3	PTC	qc	MAPK_z	0.034530805318307656	2258	3
GSM7980866_PTC-3	PTC	qc	Panel8_z	0.06519133318618553	2258	3
GSM7980866_PTC-3	PTC	microenv	MAPK_z	0.024482098941198682	2258	4
GSM7980866_PTC-3	PTC	microenv	Panel8_z	0.01567571115260491	2258	4
GSM7980866_PTC-3	PTC	spatial	MAPK_z	0.011324902525999159	2258	5
GSM7980866_PTC-3	PTC	spatial	Panel8_z	0.05087026232034053	2258	5
GSM7980866_PTC-3	PTC	detection	MAPK_z	0.7513008685814027	2258	2
GSM7980866_PTC-3	PTC	detection	Panel8_z	0.5272393154870851	2258	2
GSM7980866_PTC-3	PTC	epithelial_qc_microenv	MAPK_z	0.050688851406374136	2258	8
GSM7980866_PTC-3	PTC	epithelial_qc_microenv	Panel8_z	0.08302302024838959	2258	8
GSM7980866_PTC-3	PTC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.8257257681765673	2258	15
GSM7980866_PTC-3	PTC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.6184573863001235	2258	15
GSM7980867_PTC-4	PTC	epithelial	MAPK_z	0.001216430326354323	2249	1
GSM7980867_PTC-4	PTC	epithelial	Panel8_z	0.008747957356971092	2249	1
GSM7980867_PTC-4	PTC	qc	MAPK_z	0.16104340120936456	2249	3
GSM7980867_PTC-4	PTC	qc	Panel8_z	0.1683095056909456	2249	3
GSM7980867_PTC-4	PTC	microenv	MAPK_z	0.07429947120728253	2249	4
GSM7980867_PTC-4	PTC	microenv	Panel8_z	0.06840210544687297	2249	4
GSM7980867_PTC-4	PTC	spatial	MAPK_z	0.037353515433726336	2249	5
GSM7980867_PTC-4	PTC	spatial	Panel8_z	0.03672875430969991	2249	5
GSM7980867_PTC-4	PTC	detection	MAPK_z	0.7226360601259141	2249	2
GSM7980867_PTC-4	PTC	detection	Panel8_z	0.5900344755530769	2249	2
GSM7980867_PTC-4	PTC	epithelial_qc_microenv	MAPK_z	0.16868628824897003	2249	8
GSM7980867_PTC-4	PTC	epithelial_qc_microenv	Panel8_z	0.18698053373599466	2249	8
GSM7980867_PTC-4	PTC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.7830642183989545	2249	15
GSM7980867_PTC-4	PTC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.6474963281338022	2249	15
GSM7980868_LPTC-1	LPTC	epithelial	MAPK_z	5.1363433067552755e-05	760	1
GSM7980868_LPTC-1	LPTC	epithelial	Panel8_z	0.0017591865483926883	760	1
GSM7980868_LPTC-1	LPTC	qc	MAPK_z	0.1464239262750675	760	3
GSM7980868_LPTC-1	LPTC	qc	Panel8_z	0.13845855071244195	760	3
GSM7980868_LPTC-1	LPTC	microenv	MAPK_z	0.022510635512482224	760	4
GSM7980868_LPTC-1	LPTC	microenv	Panel8_z	0.21853207854361212	760	4
GSM7980868_LPTC-1	LPTC	spatial	MAPK_z	0.03272085653047041	760	5
GSM7980868_LPTC-1	LPTC	spatial	Panel8_z	0.2199815669651013	760	5
GSM7980868_LPTC-1	LPTC	detection	MAPK_z	0.672695594755976	760	2
GSM7980868_LPTC-1	LPTC	detection	Panel8_z	0.6299297194859197	760	2
GSM7980868_LPTC-1	LPTC	epithelial_qc_microenv	MAPK_z	0.15652601592850912	760	8
GSM7980868_LPTC-1	LPTC	epithelial_qc_microenv	Panel8_z	0.2765993866319557	760	8
GSM7980868_LPTC-1	LPTC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.8089078842709732	760	15
GSM7980868_LPTC-1	LPTC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.7193713423436271	760	15
GSM7980869_LPTC-2	LPTC	epithelial	MAPK_z	0.16048501098313672	2036	1
GSM7980869_LPTC-2	LPTC	epithelial	Panel8_z	0.18092053256709095	2036	1
GSM7980869_LPTC-2	LPTC	qc	MAPK_z	0.39661366870416737	2036	3
GSM7980869_LPTC-2	LPTC	qc	Panel8_z	0.3879805027261416	2036	3
GSM7980869_LPTC-2	LPTC	microenv	MAPK_z	0.12599536647825949	2036	4
GSM7980869_LPTC-2	LPTC	microenv	Panel8_z	0.2581756556982473	2036	4
GSM7980869_LPTC-2	LPTC	spatial	MAPK_z	0.13126306275606192	2036	5
GSM7980869_LPTC-2	LPTC	spatial	Panel8_z	0.14217048215522243	2036	5
GSM7980869_LPTC-2	LPTC	detection	MAPK_z	0.7760658184210607	2036	2
GSM7980869_LPTC-2	LPTC	detection	Panel8_z	0.7646364460940123	2036	2
GSM7980869_LPTC-2	LPTC	epithelial_qc_microenv	MAPK_z	0.41289374464998607	2036	8
GSM7980869_LPTC-2	LPTC	epithelial_qc_microenv	Panel8_z	0.48270461015321153	2036	8
GSM7980869_LPTC-2	LPTC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.8506369469398418	2036	15
GSM7980869_LPTC-2	LPTC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.7897761693288812	2036	15
GSM7980870_LPTC-3	LPTC	epithelial	MAPK_z	0.0030279160861419463	1668	1
