sample_id	stage	mapk_gene	panel_gene	rho	p	n
GSM7980864_PTC-1	PTC	DUSP4	DIO1	0.09285550704984362	0.0017716216161967734	1131
GSM7980864_PTC-1	PTC	DUSP4	FOXE1	-0.030082166819853512	0.31211998287874826	1131
GSM7980864_PTC-1	PTC	DUSP4	NKX2-1	-0.025567101686343734	0.3903294567501952	1131
GSM7980864_PTC-1	PTC	DUSP4	PAX8	-0.071790904226522	0.01574387893647862	1131
GSM7980864_PTC-1	PTC	DUSP4	SLC5A5	0.12648811392555942	1.987585839098919e-05	1131
GSM7980864_PTC-1	PTC	DUSP4	TG	-0.06366316489360599	0.03228867544761366	1131
GSM7980864_PTC-1	PTC	DUSP4	TPO	0.004137894538383652	0.8894457786791401	1131
GSM7980864_PTC-1	PTC	DUSP4	TSHR	-0.0749894223521852	0.011646301625315533	1131
GSM7980864_PTC-1	PTC	DUSP5	DIO1	-0.02681481207453532	0.3676116305991026	1131
GSM7980864_PTC-1	PTC	DUSP5	FOXE1	0.018484154430589105	0.5346034853775338	1131
GSM7980864_PTC-1	PTC	DUSP5	NKX2-1	0.015587749354413039	0.6005056459507409	1131
GSM7980864_PTC-1	PTC	DUSP5	PAX8	-0.06577666228741126	0.026963797635716037	1131
GSM7980864_PTC-1	PTC	DUSP5	SLC5A5	0.08055403235030813	0.006718795553536471	1131
GSM7980864_PTC-1	PTC	DUSP5	TG	-0.21473527513040513	2.900369433756675e-13	1131
GSM7980864_PTC-1	PTC	DUSP5	TPO	-0.17615673349295952	2.4559440930135765e-09	1131
GSM7980864_PTC-1	PTC	DUSP5	TSHR	-0.07773545520547594	0.008913932077606476	1131
GSM7980864_PTC-1	PTC	DUSP6	DIO1	-0.18425287881644478	4.2881375180051907e-10	1131
GSM7980864_PTC-1	PTC	DUSP6	FOXE1	-0.030674423857234557	0.3026846997754275	1131
GSM7980864_PTC-1	PTC	DUSP6	NKX2-1	0.07714274196685605	0.009449838808258327	1131
GSM7980864_PTC-1	PTC	DUSP6	PAX8	-0.0363398709182742	0.22202003492823985	1131
GSM7980864_PTC-1	PTC	DUSP6	SLC5A5	-0.080612807659005	0.0066787054939063985	1131
GSM7980864_PTC-1	PTC	DUSP6	TG	-0.14254127148925566	1.4867599967506275e-06	1131
GSM7980864_PTC-1	PTC	DUSP6	TPO	-0.23556827702662628	1.0012679216610186e-15	1131
GSM7980864_PTC-1	PTC	DUSP6	TSHR	-0.011162630516063964	0.7076607135469132	1131
GSM7980864_PTC-1	PTC	SPRY2	DIO1	0.4581801983280971	8.821112980320361e-60	1131
GSM7980864_PTC-1	PTC	SPRY2	FOXE1	0.14748360640848274	6.302632211909239e-07	1131
GSM7980864_PTC-1	PTC	SPRY2	NKX2-1	0.015756435983395267	0.5965687337462909	1131
GSM7980864_PTC-1	PTC	SPRY2	PAX8	-0.07232319153741724	0.014984620289875981	1131
GSM7980864_PTC-1	PTC	SPRY2	SLC5A5	0.43163660203732834	1.558704793894325e-52	1131
GSM7980864_PTC-1	PTC	SPRY2	TG	-0.015314999075570398	0.6068959442994644	1131
GSM7980864_PTC-1	PTC	SPRY2	TPO	0.1283742074436614	1.4882259690060592e-05	1131
GSM7980864_PTC-1	PTC	SPRY2	TSHR	-0.019382572266630878	0.5149284021111648	1131
GSM7980864_PTC-1	PTC	SPRY4	DIO1	0.17240471055151163	5.367286354214617e-09	1131
GSM7980864_PTC-1	PTC	SPRY4	FOXE1	-0.09247952257793846	0.0018497470303300944	1131
GSM7980864_PTC-1	PTC	SPRY4	NKX2-1	0.01966024122428487	0.5089244331444036	1131
GSM7980864_PTC-1	PTC	SPRY4	PAX8	-0.026635765530147727	0.3708201275192747	1131
GSM7980864_PTC-1	PTC	SPRY4	SLC5A5	0.019832212502186655	0.5052243942921066	1131
GSM7980864_PTC-1	PTC	SPRY4	TG	0.036224957973497694	0.22348621892734852	1131
GSM7980864_PTC-1	PTC	SPRY4	TPO	0.0808582771037658	0.006513584713345768	1131
GSM7980864_PTC-1	PTC	SPRY4	TSHR	-0.009688893150453593	0.7448116604496469	1131
GSM7980864_PTC-1	PTC	ETV4	DIO1	0.13213984177116234	8.251270413413015e-06	1131
GSM7980864_PTC-1	PTC	ETV4	FOXE1	0.21059581291867352	8.369308909613672e-13	1131
GSM7980864_PTC-1	PTC	ETV4	NKX2-1	0.0777098830523977	0.008936481598474776	1131
GSM7980864_PTC-1	PTC	ETV4	PAX8	0.07099464228970553	0.01694275322587752	1131
GSM7980864_PTC-1	PTC	ETV4	SLC5A5	-0.05847258184934526	0.049303141673219454	1131
GSM7980864_PTC-1	PTC	ETV4	TG	0.1260402238438471	2.1276854921645298e-05	1131
GSM7980864_PTC-1	PTC	ETV4	TPO	0.05914460774697719	0.0467459245931407	1131
