subset	kind	rho_mapk_panel	rho_mapk_dm1_like	p	n
all_spots	raw	0.28469349415552836	-0.28469349415552836	0.0	55873
all_spots	basic_resid	0.03738899361470998	-0.03738899361470998	9.511609091831234e-19	55873
all_spots	full_resid	0.028519116483363666	-0.028519116483363666	1.557719935051389e-11	55873
all_spots	spatial_poly_resid	0.029926595027566234	-0.029926595027566234	1.4910824354653463e-12	55873
all_spots	local_knn30_resid	0.13724237284717677	-0.13724237284717677	4.950265045530794e-233	55873
tumor_all_spots	raw	0.33522573788590837	-0.33522573788590837	0.0	41133
tumor_all_spots	basic_resid	0.05872635479370541	-0.05872635479370541	9.268708968150021e-33	41133
tumor_all_spots	full_resid	0.04239774065596139	-0.04239774065596139	7.806089589673973e-18	41133
tumor_all_spots	spatial_poly_resid	0.04419998302762272	-0.04419998302762272	3.00772984441049e-19	41133
tumor_all_spots	local_knn30_resid	0.16203995416478678	-0.16203995416478678	5.464881272715484e-240	41133
tumor_epithelial_enriched_top50	raw	0.20847143578112615	-0.20847143578112615	9.659419051273724e-201	20569
tumor_epithelial_enriched_top50	basic_resid	0.046626524593544084	-0.046626524593544084	2.226219906008476e-11	20569
tumor_epithelial_enriched_top50	full_resid	0.03524807489172188	-0.03524807489172188	4.270065074409356e-07	20569
tumor_epithelial_enriched_top50	spatial_poly_resid	0.0358701912856225	-0.0358701912856225	2.663703508620469e-07	20569
tumor_epithelial_enriched_top50	local_knn30_resid	0.12813706486086227	-0.12813706486086227	4.9993245100795224e-76	20569
ATC_all_spots	raw	0.1389350859900981	-0.1389350859900981	1.0308134685810137e-49	11276
ATC_all_spots	basic_resid	0.04121344591491931	-0.04121344591491931	1.1990021550488245e-05	11276
ATC_all_spots	full_resid	0.02167761694961661	-0.02167761694961661	0.021339167617334065	11276
ATC_all_spots	spatial_poly_resid	0.015288028195105077	-0.015288028195105077	0.10451933976323827	11276
ATC_all_spots	local_knn30_resid	0.0562397620318076	-0.0562397620318076	2.2856458883675148e-09	11276
ATC_epithelial_enriched_top50	raw	0.08025366128682246	-0.08025366128682246	1.5905141157504935e-09	5639
ATC_epithelial_enriched_top50	basic_resid	0.019506737866611543	-0.019506737866611543	0.14301931505342225	5639
ATC_epithelial_enriched_top50	full_resid	-0.000687931025775854	0.000687931025775854	0.9588095323680413	5639
ATC_epithelial_enriched_top50	spatial_poly_resid	-0.0033403562171547344	0.0033403562171547344	0.8019815922095611	5639
ATC_epithelial_enriched_top50	local_knn30_resid	0.03002250579022964	-0.03002250579022964	0.024164940983151195	5639
PTC_LPTC_epithelial_enriched_top50	raw	0.24805140185561597	-0.24805140185561597	3.694056618921108e-208	14930
PTC_LPTC_epithelial_enriched_top50	basic_resid	0.05486627516328222	-0.05486627516328222	1.9661757079907572e-11	14930
PTC_LPTC_epithelial_enriched_top50	full_resid	0.045372656693391675	-0.045372656693391675	2.9160546279897345e-08	14930
PTC_LPTC_epithelial_enriched_top50	spatial_poly_resid	0.046923074843715176	-0.046923074843715176	9.686210530875942e-09	14930
PTC_LPTC_epithelial_enriched_top50	local_knn30_resid	0.15661439757637913	-0.15661439757637913	1.3123393372729458e-82	14930
