subset	pair	adjustment	n	rho	p	negative_direction	covariates
all_spots	MAPK9_vs_Panel8	raw	57997	0.31263299507077524	0.0	False	none
all_spots	MAPK9_vs_Panel8	QC	55873	0.07594052268818728	3.0052099914774645e-72	False	log_total_counts,log_n_genes,pct_counts_mt
all_spots	MAPK9_vs_Panel8	epithelial	55873	0.1859636815900855	0.0	False	Epithelial_score
all_spots	MAPK9_vs_Panel8	cell_state	55873	0.13790408575300056	2.760827856014175e-235	False	Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
all_spots	MAPK9_vs_Panel8	QC_plus_cell_state	55873	0.04542625545279828	6.398595405739807e-27	False	log_total_counts,log_n_genes,pct_counts_mt,Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
all_spots	MAPK9_vs_TDS16	raw	57997	0.31965383589447005	0.0	False	none
all_spots	MAPK9_vs_TDS16	QC	55873	0.06493372967549671	2.829383276247831e-53	False	log_total_counts,log_n_genes,pct_counts_mt
all_spots	MAPK9_vs_TDS16	epithelial	55873	0.19880304560975134	0.0	False	Epithelial_score
all_spots	MAPK9_vs_TDS16	cell_state	55873	0.14765334420241438	8.548276000633611e-270	False	Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
all_spots	MAPK9_vs_TDS16	QC_plus_cell_state	55873	0.042495593260116225	9.26182960627632e-24	False	log_total_counts,log_n_genes,pct_counts_mt,Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
all_spots	MAPK9_vs_RAI8_existing	raw	55873	0.2832325972861216	0.0	False	none
all_spots	MAPK9_vs_RAI8_existing	QC	55873	0.06768316889940493	9.78589010119817e-58	False	log_total_counts,log_n_genes,pct_counts_mt
all_spots	MAPK9_vs_RAI8_existing	epithelial	55873	0.184055117402762	0.0	False	Epithelial_score
all_spots	MAPK9_vs_RAI8_existing	cell_state	55873	0.13479028361957496	8.86715830361639e-225	False	Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
all_spots	MAPK9_vs_RAI8_existing	QC_plus_cell_state	55873	0.03851418785289713	8.472677093590074e-20	False	log_total_counts,log_n_genes,pct_counts_mt,Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
all_spots	MAPK9_vs_DM1_existing	raw	55873	-0.2832325972861216	0.0	True	none
all_spots	MAPK9_vs_DM1_existing	QC	55873	-0.06768316889940493	9.78589010119817e-58	True	log_total_counts,log_n_genes,pct_counts_mt
all_spots	MAPK9_vs_DM1_existing	epithelial	55873	-0.184055117402762	0.0	True	Epithelial_score
all_spots	MAPK9_vs_DM1_existing	cell_state	55873	-0.134790283619575	8.86715830360127e-225	True	Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
all_spots	MAPK9_vs_DM1_existing	QC_plus_cell_state	55873	-0.03851418785289712	8.472677093590074e-20	True	log_total_counts,log_n_genes,pct_counts_mt,Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
all_spots	MAPK9_vs_TDS_existing	raw	55873	0.2483164547419492	0.0	False	none
all_spots	MAPK9_vs_TDS_existing	QC	55873	0.04997806517662141	3.0523007097606567e-32	False	log_total_counts,log_n_genes,pct_counts_mt
all_spots	MAPK9_vs_TDS_existing	epithelial	55873	0.15663316179739137	9.320714871686483e-304	False	Epithelial_score
all_spots	MAPK9_vs_TDS_existing	cell_state	55873	0.11370962954785639	3.8077026274360395e-160	False	Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
all_spots	MAPK9_vs_TDS_existing	QC_plus_cell_state	55873	0.025572754538146857	1.4884981148063164e-09	False	log_total_counts,log_n_genes,pct_counts_mt,Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
tumor_stages	MAPK9_vs_Panel8	raw	43180	0.36570201181218265	0.0	False	none
tumor_stages	MAPK9_vs_Panel8	QC	41133	0.10632905811111579	1.032630706365036e-103	False	log_total_counts,log_n_genes,pct_counts_mt
tumor_stages	MAPK9_vs_Panel8	epithelial	41133	0.21728077962785677	0.0	False	Epithelial_score
tumor_stages	MAPK9_vs_Panel8	cell_state	41133	0.16482327615037407	2.4078834702866563e-248	False	Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
tumor_stages	MAPK9_vs_Panel8	QC_plus_cell_state	41133	0.06629117558955343	2.722456837039901e-41	False	log_total_counts,log_n_genes,pct_counts_mt,Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
tumor_stages	MAPK9_vs_TDS16	raw	43180	0.370110871749583	0.0	False	none
tumor_stages	MAPK9_vs_TDS16	QC	41133	0.09189030083692604	7.838746138922465e-78	False	log_total_counts,log_n_genes,pct_counts_mt
tumor_stages	MAPK9_vs_TDS16	epithelial	41133	0.2311967578204957	0.0	False	Epithelial_score
tumor_stages	MAPK9_vs_TDS16	cell_state	41133	0.175671179144136	2.3901677266133305e-282	False	Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
tumor_stages	MAPK9_vs_TDS16	QC_plus_cell_state	41133	0.06359343048289634	3.9410746704447504e-38	False	log_total_counts,log_n_genes,pct_counts_mt,Epithelial_score,CAF_ECM_score,EMT_score,Hypoxia_score,Proliferation_score
tumor_stages	MAPK9_vs_RAI8_existing	raw	41133	0.33446184058689726	0.0	False	none
tumor_stages	MAPK9_vs_RAI8_existing	QC	41133	0.0964715391303443	1.2501592218898817e-85	False	log_total_counts,log_n_genes,pct_counts_mt
