cohort	AUC_Panel	AUC_TDS16	AUC_TDS8only	delta_TDS16_vs_Panel	n
TCGA-THCA	0.6233923419238104	0.6307765660912514	0.6353733678908504	0.007384224167441	572
Lee_GSE213647	0.7280083319980772	0.7399755648133312	0.7343474603428938	0.011967232815253914	632
