subset	adjustment	rho_linear_resid_spearman	p_linear_resid_spearman	n_linear	rho_rank_partial_spearman	p_rank_partial_spearman	n_rank
tumor_epithelial_top50	raw	0.20847143578112615	9.659419051273724e-201	20569	0.20847143578112612	9.659419051273939e-201	20569
tumor_epithelial_top50	epithelial	0.2019319387812947	3.2507106478398036e-188	20569	0.19908476077774054	6.775468879715664e-183	20569
tumor_epithelial_top50	qc	0.06320287456396276	1.1577209176545836e-19	20569	0.0708549754516234	2.587327532716874e-24	20569
tumor_epithelial_top50	microenv	0.17232663526112113	7.4599304158634895e-137	20569	0.1605524977221864	8.070366104788189e-119	20569
tumor_epithelial_top50	spatial	0.21077388014749668	2.957997331327466e-205	20569	0.21239453540599568	1.82497690592119e-208	20569
tumor_epithelial_top50	detection	0.0412691100863993	3.2011494841720554e-09	20569	0.05151997523153319	1.431184262099516e-13	20569
tumor_epithelial_top50	epithelial_qc	0.06061571356579897	3.2921687952627606e-18	20569	0.06764561341408902	2.6750031342595313e-22	20569
tumor_epithelial_top50	epithelial_qc_microenv	0.05240758192620317	5.437847855622946e-14	20569	0.06373588968206828	5.71008067849124e-20	20569
tumor_epithelial_top50	epithelial_qc_microenv_spatial	0.05636800038461599	5.957593980434727e-16	20569	0.06611570595316887	2.265207815986852e-21	20569
tumor_epithelial_top50	epithelial_qc_microenv_spatial_detection	0.0071575333745551965	0.3046668925267824	20569	0.053549255752010146	1.5296583390762813e-14	20569
ATC_epithelial_top50	raw	0.08025366128682246	1.5905141157504935e-09	5639	0.08025366128682243	1.5905141157504341e-09	5639
ATC_epithelial_top50	epithelial	0.08468080080705537	1.9027596501462688e-10	5639	0.08587508784893814	1.0529536370945948e-10	5639
ATC_epithelial_top50	qc	0.033320812666867095	0.012338616632507668	5639	0.06737090103167047	4.111239929646469e-07	5639
ATC_epithelial_top50	microenv	0.028586670204894735	0.03182279250275496	5639	0.038975073378068624	0.0034199670129881885	5639
ATC_epithelial_top50	spatial	0.06700019821368582	4.758375712444655e-07	5639	0.07307674963180684	3.9359472089054305e-08	5639
ATC_epithelial_top50	detection	0.003094220203002019	0.8163017706114717	5639	0.036573667342603734	0.006018963445547114	5639
ATC_epithelial_top50	epithelial_qc	0.044892719772109416	0.0007459897615713568	5639	0.07394452236602315	2.711434175204051e-08	5639
ATC_epithelial_top50	epithelial_qc_microenv	0.019296521853007665	0.1473787297032499	5639	0.047155139130540286	0.0003967755252623715	5639
ATC_epithelial_top50	epithelial_qc_microenv_spatial	0.01763139318022131	0.18556667448298325	5639	0.04169158775319254	0.001739600508318252	5639
ATC_epithelial_top50	epithelial_qc_microenv_spatial_detection	-0.07774657368060428	5.041391719398852e-09	5639	0.03762910214544606	0.004712341936864559	5639
