cohort	sample_id	group	p_DM2_centered	DM_call_centered	panel_z_mean	histology	tumor_normal	tissue_type	cell_type	cell_subtype	sample_alias	read_count	base_count	source
TCGA-THCA	TCGA-DJ-A2Q6-01A	TCGA_DM2	0.9995282200067257	DM2	-0.5437810016540929	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-FK-A3SE-01A	TCGA_DM2	0.9057892573219084	DM2	0.16550577604368177	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-DJ-A2QA-01A	TCGA_DM2	0.9267591410462068	DM2	0.4315008549595457	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-FY-A2QD-01A	TCGA_DM1	0.011621237869694332	DM1	0.843778258401789	DM1_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-EL-A3GR-01A	TCGA_DM2	0.8457213138923897	DM2	0.20912066643608107	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-EL-A3T7-01A	TCGA_DM2	0.9818059576522967	DM2	-0.43871570271547106	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-FE-A230-01A	TCGA_DM2	0.9942064190974218	DM2	-0.3823176153511493	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-EM-A3FO-01A	TCGA_DM2	0.9850323645369298	DM2	0.00402762390252219	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-DJ-A3VB-01A	TCGA_DM2	0.9830415629594648	DM2	-0.7683054849545468	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-BJ-A28X-01A	TCGA_DM2	0.979587918673051	DM2	-0.5397407753218144	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-DJ-A2QB-01A	TCGA_DM1	0.059542769905270146	DM1	-0.04948893956971702	DM1_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-DO-A1K0-01A	TCGA_DM2	0.9981758013814027	DM2	-0.444787400303201	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-EL-A4KD-01A	TCGA_DM2	0.293204957179331	DM1	0.8071287805244076	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-BJ-A192-01A	TCGA_DM1	0.004104955948164893	DM1	0.4568346278334304	DM1_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
TCGA-THCA	TCGA-L6-A4EU-01A	TCGA_DM2	0.9963906802324677	DM2	-0.5827128639814065	DM2_A	tumor							/data/thca/data_processed/bulk_rnaseq/TCGA-THCA_rnaseq_expression_log2.tsv
