gene	in_panel_8	rho_TCGA	p_TCGA	rho_Lee	p_Lee
DIO1	True	-0.3953775660160161	7.637525973849149e-23	-0.3823477666409933	1.9703043057502074e-23
DIO2	False	-0.48131356269920933	1.664141603649685e-34	-0.042343422158615696	0.2878424843707417
DUOX1	False	0.12021744679615046	0.003985051672152305	-0.1034595568664761	0.009247350316217132
DUOX2	False	0.1560197625977327	0.00017949575402465855	-0.16721934088363138	2.3863043325657137e-05
FOXE1	True	-0.20783082643876144	5.315135529557985e-07	0.06290757873317378	0.11412832034572648
GLIS3	False	-0.17327564743231208	3.091171542854754e-05	-0.5267086221241228	2.1254544768014613e-46
NKX2-1	True	0.30694774458356305	6.048248627834787e-14	0.42474035205762223	4.5163890050309374e-29
PAX8	True	-0.23395574543097492	1.4967951843578902e-08	-0.14633320590267915	0.00022305311061065862
SLC26A4	False	-0.4378686387287078	3.4125327995875957e-28	-0.5913393519518995	7.30403461428636e-61
SLC5A5	True	-0.24540954962403208	2.7194650579861153e-09	-0.5013508422624976	1.5749842233507093e-41
SLC5A8	False	-0.5164668860829014	2.556026852702811e-40	-0.5701164398811494	9.306109886650444e-56
TG	True	-0.30419429737242704	1.035473864206519e-13	-0.5556198677351573	1.7705186531714072e-52
THRA	False	-0.12866886645781025	0.0020464570665060466	0.30987344814515194	1.5648103864228292e-15
THRB	False	-0.08188360360080775	0.05030340359786044	-0.39920583859939474	1.4081585730892652e-25
TPO	True	-0.46468977424130964	5.546555374089936e-32	-0.586296729868278	1.2906050280194e-59
TSHR	True	-0.10975085925801581	0.00861269336762019	-0.4852544732485471	1.210212031201293e-38
