set	n_total_drugs	n_mapk_universe	n_hit	n_mapk_hit	mapk_fraction_hit	fold_enrichment	hypergeom_p
FDR_lt_0.05	1518	10	11	7	0.6363636363636364	96.6	1.081974042432958e-14
p_lt_1e-4	1518	10	11	7	0.6363636363636364	96.6	1.081974042432958e-14
top15_by_p	1518	10	15	7	0.4666666666666667	70.84	2.0951810070501609e-13
top15_by_abs_d	1518	10	15	7	0.4666666666666667	70.84	2.0951810070501609e-13
