sample_id	stage	metric	rho	p	n
GSM7980867_PTC-4	PTC	Panel8_z_vs_panel_detect	0.8016220814712626	0.0	2249
GSM7980867_PTC-4	PTC	MAPK_detect_vs_panel_detect	0.4181088803321635	7.067834107437464e-96	2249
GSM7980867_PTC-4	PTC	MAPK_z_vs_Epithelial_score	-0.005889156494920728	0.7801433041007723	2249
GSM7980867_PTC-4	PTC	Panel8_z_vs_Epithelial_score	-0.02116361934603905	0.3157596084166992	2249
GSM7980868_LPTC-1	LPTC	MAPK_z_vs_log1p_total	0.3309351655119904	7.008181416097767e-21	760
GSM7980868_LPTC-1	LPTC	Panel8_z_vs_log1p_total	0.3344087904556903	2.5907255916830358e-21	760
GSM7980868_LPTC-1	LPTC	MAPK_z_vs_MAPK_detect	0.8061990534276813	5.987738686936815e-175	760
GSM7980868_LPTC-1	LPTC	Panel8_z_vs_panel_detect	0.7804998191305218	8.480802805119293e-157	760
GSM7980868_LPTC-1	LPTC	MAPK_detect_vs_panel_detect	0.43014785299999303	1.4096396686875961e-35	760
GSM7980868_LPTC-1	LPTC	MAPK_z_vs_Epithelial_score	0.055654500123954814	0.12528779844981822	760
GSM7980868_LPTC-1	LPTC	Panel8_z_vs_Epithelial_score	-0.007040187505791899	0.8463579226064876	760
GSM7980869_LPTC-2	LPTC	MAPK_z_vs_log1p_total	0.5724508163759779	1.322092774682572e-177	2036
GSM7980869_LPTC-2	LPTC	Panel8_z_vs_log1p_total	0.6319922463778191	1.8093200940890196e-227	2036
GSM7980869_LPTC-2	LPTC	MAPK_z_vs_MAPK_detect	0.8821554534556604	0.0	2036
GSM7980869_LPTC-2	LPTC	Panel8_z_vs_panel_detect	0.9189905461735788	0.0	2036
GSM7980869_LPTC-2	LPTC	MAPK_detect_vs_panel_detect	0.7503910915870737	0.0	2036
GSM7980869_LPTC-2	LPTC	MAPK_z_vs_Epithelial_score	0.42024480184899976	6.257678739707821e-88	2036
GSM7980869_LPTC-2	LPTC	Panel8_z_vs_Epithelial_score	0.4827417111435401	2.3845215597246313e-119	2036
GSM7980870_LPTC-3	LPTC	MAPK_z_vs_log1p_total	0.5631691899388068	3.3711160359491385e-140	1668
GSM7980870_LPTC-3	LPTC	Panel8_z_vs_log1p_total	0.642963852717305	3.2349338955386438e-195	1668
GSM7980870_LPTC-3	LPTC	MAPK_z_vs_MAPK_detect	0.8578840233847306	0.0	1668
GSM7980870_LPTC-3	LPTC	Panel8_z_vs_panel_detect	0.874024972064256	0.0	1668
GSM7980870_LPTC-3	LPTC	MAPK_detect_vs_panel_detect	0.7044230084149287	2.6033617960598677e-250	1668
