sample_id	stage	n	spearman_rho	spearman_p	ci_lo	ci_hi	partial_spearman_rho_qc	partial_spearman_p_qc	partial_n_qc	panel_genes_used	mapk_genes_used	tds16_genes_used	spearman_fdr
GSM7980860_N-1	PT	3401	0.20024222290677796	4.2373231025571296e-32	0.16776035749743964	0.23228978391903826	-0.0001353753183754637	0.9937087783722072	3395	8	9	16	8.474646205114259e-32
GSM7980861_N-2	PT	3839	0.23470153423519713	3.3777370961162768e-49	0.2045852586359019	0.26437388815286844	-0.007029437162138447	0.6657093053061034	3780	8	9	16	9.007298922976738e-49
GSM7980862_N-3	PT	4547	0.13740997626124654	1.310175872130416e-20	0.10877649482401942	0.16581563040728742	-0.002483452791280178	0.8671724233025866	4538	8	9	16	1.7469011628405545e-20
GSM7980863_N-4	PT	3030	0.09502730556894093	1.6012171615395098e-07	0.0596195247436496	0.13019626337001594	0.0017236237898134415	0.9244804031290174	3027	8	9	16	1.8299624703308683e-07
GSM7980864_PTC-1	PTC	2270	0.11108489290772479	1.1199556667670113e-07	0.07026404628923692	0.1515343139683217	-0.06324631142341366	0.002617850722257637	2262	8	9	16	1.3784069744824754e-07
GSM7980865_PTC-2	PTC	4952	0.26243100370966566	8.608480223511045e-79	0.23630448629018938	0.288178338325584	0.006121078904085141	0.6668895766654807	4947	8	9	16	2.7547136715235347e-78
GSM7980866_PTC-3	PTC	4524	0.16376062708193329	1.458387114586204e-28	0.13526438201986715	0.19198618020986857	0.02300751101311519	0.12212661162614412	4516	8	9	16	2.5926882037088073e-28
GSM7980867_PTC-4	PTC	4748	0.43433135409204177	9.653051737204502e-218	0.41096281827465714	0.45712950156932913	0.05042707094648475	0.0007164346470955594	4498	8	9	16	3.861220694881801e-217
GSM7980868_LPTC-1	LPTC	1520	0.23735033305776235	6.574534593306965e-21	0.18932960749083233	0.2842384150588278	0.09442063606549045	0.00022744529922858814	1520	8	9	16	9.562959408446494e-21
GSM7980869_LPTC-2	LPTC	4174	0.5224207433392263	4.262194767517093e-291	0.5000066371842825	0.5441354182683532	0.14650359821600067	5.6981047295490306e-21	4071	8	9	16	3.409755814013674e-290
GSM7980870_LPTC-3	LPTC	4633	0.6158298151678571	0.0	0.5976313132803353	0.6333941005280525	0.0847048892983178	9.614533252162183e-07	3336	8	9	16	0.0
GSM7980871_LPTC-4	LPTC	4737	0.44886393208050107	1.188266764328685e-233	0.4258283928073738	0.4713179695092234	0.145182733683903	1.3626666237343674e-23	4707	8	9	16	6.337422743086321e-233
GSM7980872_ATC-1	ATC	4722	0.19711266339909367	1.4174879834150758e-42	0.1695417222696577	0.2243753039095542	0.040231755384221565	0.005728433456811471	4715	8	9	16	3.239972533520173e-42
GSM7980873_ATC-2	ATC	2684	0.07816677180769988	5.0364411404463306e-05	0.0404508328326883	0.11566028000857076	0.01593576136756015	0.43963466893231773	2354	8	9	16	5.3722038831427526e-05
GSM7980874_ATC-3	ATC	1622	0.0134061415906366	0.5895227397780247	-0.03529002261573553	0.06203879689657543	0.007386903845116581	0.7663263974229021	1621	8	9	16	0.5895227397780247
GSM7980875_ATC-4	ATC	2594	0.19117210401088097	8.991931459183913e-23	0.15381737538826387	0.2279811699397826	0.08200581374792	2.976762663210326e-05	2586	8	9	16	1.4387090334694261e-22
