gene	B cell	Endothelial cell	Epithelial cell	Fibroblast	Malignant cell	Myeloid cell	NK cell	T cell
DIO1	0.1576293056607455	-0.01203532428481463	-0.138973357482	0.16813941773527574	0.12426924658011099	0.14180490573611412	0.05582780905972175	-0.25176386190281397
FOXE1	0.310833082284767	0.02554635149340087	-0.07465571805540962	0.3693304168674861	0.04133288956576514	0.3276486245886328	-0.04415592503518527	-0.49861988369126614
NKX2-1	0.31265797551124186	0.015206749303019339	-0.0017650825635900302	0.3111037338499398	0.02886923554286327	0.270929515630378	-0.038770609867590726	-0.4880431363712251
PAX8	0.2957217513242578	0.03137240444017842	-0.10278602895926371	0.3885470381033451	0.059595087028708325	0.34897452565883796	0.0331062856867024	-0.5423696309875089
SLC5A5	-0.04138073158644808	0.00195870797242041	-0.05414366256309564	-0.10108857728218199	0.03799442278038841	0.061530940387800936	0.017855578469131304	0.04068216066623265
TG	0.06044589040114447	-0.19254098136990302	-0.18829568852063575	0.12200942442719484	0.18408019110622664	0.21792990060815376	-0.003408726095109092	-0.16504977772276277
TPO	-0.02890432812838934	-0.17986012757015318	-0.45517777359502587	-0.047183469179152324	0.4911214704823177	0.23636316487597014	0.09823198253877485	-0.07816575572961981
TSHR	0.32591503463063104	-0.03833479194616628	-0.17805203706452635	0.3712777830701829	0.16119396847162953	0.40830059299262794	0.04276022832616558	-0.5765697884557313
mean_8g_beta	0.2657909927091116	-0.1412810657959588	-0.3141061807535933	0.23480868730292462	0.30306471907025634	0.3853624474299692	0.02301158156124268	-0.41920216271648136
