sample_id	stage	n_spots	n_MAPK_genes	n_panel_genes	rho_mapk_panel_all_spots	p_mapk_panel_all_spots	n_all_corr	rho_mapk_panel_epithelial_enriched	p_mapk_panel_epithelial_enriched	n_epi_corr	rho_mapk_panel_all_spots_resid_epithelial	p_mapk_panel_all_spots_resid_epithelial	n_all_resid_corr	rho_mapk_panel_epithelial_enriched_resid_epithelial	p_mapk_panel_epithelial_enriched_resid_epithelial	n_epi_resid_corr	epithelial_score_median	mean_MAPK_z	mean_panel8_z
GSM7980860_N-1	PT	3395	9	8	0.19941166059148166	8.655739598619269e-32	3395	0.21004020821197517	2.201637374241952e-18	1698	0.1412382216811767	1.363156149709671e-16	3395	0.19417056471151117	6.904416899077096e-16	1698	0.019974317401647568	3.792224756438145e-09	1.0562048657902778e-07
GSM7980861_N-2	PT	3780	9	8	0.21591222285944897	4.0914165507311967e-41	3780	0.11130460767223016	1.2299631747965999e-06	1890	0.15277529872537224	3.544748423044691e-21	3780	0.0993146890910083	1.5221350572594424e-05	1890	0.04017234779894352	5.298190774993827e-09	-1.455740914479975e-07
GSM7980862_N-3	PT	4538	9	8	0.135767279958201	4.0786910788496815e-20	4538	0.117741483674272	1.8552426639245892e-08	2269	0.11399613886306882	1.3362103017193625e-14	4538	0.12294505361120515	4.217159512602311e-09	2269	0.02923494577407837	1.008734429319702e-08	-8.742365054104084e-08
GSM7980863_N-4	PT	3027	9	8	0.09373341842653797	2.387872365147712e-07	3027	0.08201922930832989	0.0014025411779453772	1514	0.0819723216664899	6.310616218159309e-06	3027	0.08047168727241687	0.0017263926677832631	1514	0.03763550519943237	-9.057858463279445e-09	-2.205391647081001e-09
GSM7980864_PTC-1	PTC	2262	9	8	0.11081788036014056	1.2644801804505136e-07	2262	0.012272399959190577	0.6801311512278478	1131	0.010614722825710462	0.6138562774296206	2262	0.02593818406857351	0.3834855291929146	1131	0.038662444800138474	1.675886629470824e-08	9.275346712911414e-09
GSM7980865_PTC-2	PTC	4947	9	8	0.26137551689064537	4.484859540050209e-78	4947	0.15532100056304488	7.920348258199417e-15	2474	0.18990940592249553	2.144790886022457e-41	4947	0.1577738593492307	2.9481483069261083e-15	2474	0.1251586228609085	-6.5544627503300035e-09	-8.096689541048363e-09
GSM7980866_PTC-3	PTC	4516	9	8	0.1606006980705063	1.784877910507604e-27	4516	0.007956306901952663	0.7055288450332465	2258	0.09114497709016013	8.455572760218026e-10	4516	0.007890598741616255	0.7078486499828546	2258	0.12082202360033989	-1.1931487797767204e-08	6.250832740306578e-08
GSM7980867_PTC-4	PTC	4498	9	8	0.38754234325410425	4.010514612632383e-161	4498	0.158284260922515	4.35657880389694e-14	2249	0.19281904021428278	6.282147695402919e-39	4498	0.16000585682736546	2.292358352492455e-14	2249	0.18674280494451523	-5.300546224162872e-09	1.0601092448325744e-08
GSM7980868_LPTC-1	LPTC	1520	9	8	0.23735033305776235	6.574534593306965e-21	1520	0.10444729798756225	0.003944561312990439	760	0.18038266889895738	1.3902590740009107e-12	1520	0.1065892190183665	0.0032608903470875165	760	0.107549037784338	1.6940267855147795e-08	-3.09703194177832e-08
GSM7980869_LPTC-2	LPTC	4071	9	8	0.5234896835504252	2.529809064736877e-285	4071	0.5206253193847785	7.830289876711764e-142	2036	0.26780478463329216	8.155718364359726e-68	4071	0.3945954377404765	7.847592823782035e-77	2036	-0.12740792334079742	-7.49633422003626e-09	-2.336748039510894e-08
GSM7980870_LPTC-3	LPTC	3336	9	8	0.5605264817568307	2.2047968082336428e-275	3336	0.45473311635485747	6.701876319026815e-86	1668	0.4373792088608615	6.028000030523065e-156	3336	0.44884129286017826	1.7853607902659326e-83	1668	0.13768361508846283	5.145724735200474e-09	-5.431598282257255e-09
GSM7980871_LPTC-4	LPTC	4707	9	8	0.44208421926034147	1.769848019332699e-224	4707	0.16419999660476747	1.0844685939907541e-15	2354	0.3474659083981348	1.171359593090903e-133	4707	0.167376635356938	2.9783649382544923e-16	2354	0.16405220329761505	2.0260766675495034e-10	4.862584113141111e-09
GSM7980872_ATC-1	ATC	4715	9	8	0.19658631288506995	2.7154914713133407e-42	4715	0.11462894106915486	2.3811017351914922e-08	2358	0.1145778092228984	2.985809288670635e-15	4715	0.11343708987014663	3.326253235138919e-08	2358	0.07700792700052261	3.2766752866564275e-08	2.05916236031283e-09
GSM7980873_ATC-2	ATC	2354	9	8	0.07767849631778762	0.00016161511448572853	2354	0.041859577053330585	0.1512307365249401	1177	-0.1766247696914039	5.982110943542492e-18	2354	-0.09614509934524282	0.0009577914276443879	1177	0.01770425494760275	1.8635946119616165e-08	1.1562405370916465e-09
GSM7980874_ATC-3	ATC	1621	9	8	0.013264581312614748	0.5935730788610821	1621	0.02226063712000776	0.5267072273240678	811	0.008340611744169264	0.7372075663525554	1621	0.04021691592037664	0.25262523637485945	811	-0.01790371723473072	-4.493329797128354e-08	5.400636768282232e-11
GSM7980875_ATC-4	ATC	2586	9	8	0.1864653430989433	1.1588088399303846e-21	2586	0.017389845110459944	0.5321339149466293	1293	0.12727954527052165	8.258384094455547e-11	2586	0.028518423132661706	0.3055090710958943	1293	0.059411441907286644	-7.560062798006584e-09	-1.3424929604870653e-08
