sample_id	stage	adjustment	n	rho_mapk_panel	p	negative_direction
GSM7980860_N-1	PT	raw	3401	0.20024222290677796	4.2373231025571296e-32	False
GSM7980860_N-1	PT	QC	3395	-0.0001353753183754637	0.9937087783722072	True
GSM7980860_N-1	PT	epithelial	3395	0.14525163773830904	1.8105095780970162e-17	False
GSM7980860_N-1	PT	cell_state	3395	0.13345623254057984	5.8042146487105955e-15	False
GSM7980860_N-1	PT	QC_plus_cell_state	3395	0.00901205828151378	0.5996391242264928	False
GSM7980861_N-2	PT	raw	3839	0.23470153423519713	3.3777370961162768e-49	False
GSM7980861_N-2	PT	QC	3780	-0.007029437162138447	0.6657093053061034	True
GSM7980861_N-2	PT	epithelial	3780	0.15877349820913886	9.162030958943228e-23	False
GSM7980861_N-2	PT	cell_state	3780	0.11364243268110337	2.4290859091935626e-12	False
GSM7980861_N-2	PT	QC_plus_cell_state	3780	-0.0032491414415657524	0.8417173942048732	True
GSM7980862_N-3	PT	raw	4547	0.13740997626124654	1.310175872130416e-20	False
GSM7980862_N-3	PT	QC	4538	-0.002483452791280178	0.8671724233025866	True
GSM7980862_N-3	PT	epithelial	4538	0.11736733409286425	2.1623473231832985e-15	False
GSM7980862_N-3	PT	cell_state	4538	0.10400533158725458	2.165183743648268e-12	False
GSM7980862_N-3	PT	QC_plus_cell_state	4538	0.0029916153218750227	0.8403278492525411	False
GSM7980863_N-4	PT	raw	3030	0.09502730556894093	1.6012171615395098e-07	False
GSM7980863_N-4	PT	QC	3027	0.0017236237898134415	0.9244804031290174	False
GSM7980863_N-4	PT	epithelial	3027	0.08069803646320431	8.777897475977811e-06	False
GSM7980863_N-4	PT	cell_state	3027	0.08164681594950575	6.8687922217744175e-06	False
GSM7980863_N-4	PT	QC_plus_cell_state	3027	0.010715206355285459	0.5556569848260949	False
GSM7980864_PTC-1	PTC	raw	2270	0.11108489290772479	1.1199556667670113e-07	False
GSM7980864_PTC-1	PTC	QC	2262	-0.06324631142341366	0.002617850722257637	True
GSM7980864_PTC-1	PTC	epithelial	2262	0.013733940664337028	0.5138448268177712	False
GSM7980864_PTC-1	PTC	cell_state	2262	0.02002584761922425	0.34109288230482504	False
