cell_type	d_LuHVG_nuSVR_v2	d_PuFull_NNLS	informative	sign_match
B cell	0.0	0.0	False	True
Endothelial cell	-0.3906742408192106	-0.8409786037398497	True	True
Epithelial cell	-1.2484548480889088	-3.1231930939161976	True	True
Fibroblast	0.0	0.0	False	True
Malignant cell	1.3455914657075871	2.425885292501434	True	True
Myeloid cell	0.9220554396853644	0.5110882826759059	True	True
NK cell	0.0	0.0	False	True
T cell	-0.8427290655344793	0.0	False	True
