cohort	cell_type	spearman_r	p	n
Lee tumor-only	B cell	-0.08329941818807142	0.11015919559597345	369
Lee tumor-only	Endothelial cell	0.5555164655641857	2.900842944018197e-31	369
Lee tumor-only	Epithelial cell	0.7673394762737287	8.134619912786578e-73	369
Lee tumor-only	Fibroblast	-0.11623365146694944	0.025563910912758378	369
Lee tumor-only	Malignant cell	-0.37918971463510165	4.599087836063744e-14	369
Lee tumor-only	Myeloid cell	-0.6434808880991277	1.6185910933987625e-44	369
Lee tumor-only	NK cell	0.045997163967815245	0.37829332742538513	369
Lee tumor-only	T cell	-0.20841047834685164	5.4780096136031e-05	369
Lee tumor+normal	B cell	-0.1921410717238097	1.1376353785472296e-06	632
Lee tumor+normal	Endothelial cell	0.6087060648276278	2.484117094440349e-65	632
Lee tumor+normal	Epithelial cell	0.8352485168716632	8.812761942726619e-166	632
Lee tumor+normal	Fibroblast	-0.04945033527318853	0.2144356020188873	632
Lee tumor+normal	Malignant cell	-0.5416997246375997	1.773871771735824e-49	632
Lee tumor+normal	Myeloid cell	-0.7932412758568792	7.406240244250796e-138	632
Lee tumor+normal	NK cell	0.004782506705241543	0.9044886721734694	632
Lee tumor+normal	T cell	-0.2564703223640608	5.966444493620402e-11	632
