cell_type	sub_A_mean	sub_B_mean	cohen_d_A_vs_B	p	n_A	n_B
Epithelial cell	0.09658582437193498	0.12137048723273712	-1.2555029523723427	5.223101709636302e-10	84	56
Malignant cell	0.2697526469215129	0.24808109174775428	1.2154852535878715	2.5024885714243212e-09	84	56
Fibroblast	0.06527459653766558	0.07544938477322652	-0.5575644166238726	0.0028072646556632245	84	56
Endothelial cell	0.13260567417381913	0.14010487312673983	-0.3739251307064722	0.016345595056597148	84	56
Myeloid cell	0.21198247639382442	0.20673862730949852	0.33604660157694943	0.08379985613349336	84	56
T cell	0.14090748264285752	0.1314315299092821	0.2753273178015457	0.19820353406553026	84	56
NK cell	0.03338269164309241	0.030669699150019738	0.19854766474374066	0.21816659188275866	84	56
B cell	0.04950860731529275	0.046154306750741635	0.18847346086750982	0.041818025075981265	84	56
