sample_id	SLC5A5	TPO	TG	TSHR	PAX8	NKX2-1	FOXE1	DIO1	cohort	group
TCGA-DJ-A2Q6-01A	0.0303188394141219	-1.387892246907416	1.249050355013746	1.3738222952989916	0.5708683739614215	1.0362580885998849	1.0915758587232338	-1.1871365591190661	TCGA-THCA	TCGA_DM2
TCGA-FK-A3SE-01A	1.0325803506369728	0.23119256833710813	-0.2516390343211873	-0.20672701502856894	-0.2773352952059905	-0.6659352576146672	-1.307784667382519	0.35674915747779007	TCGA-THCA	TCGA_DM2
TCGA-DJ-A2QA-01A	2.119352025965472	0.5269057030358016	0.5582680640942351	-0.5951022255796923	-0.4718192028418637	-0.9019911209354902	-2.0117731530199476	-0.4071962185865325	TCGA-THCA	TCGA_DM2
TCGA-FY-A2QD-01A	-0.9877407859033543	1.436012436551807	0.02471782663865016	-1.1475772761994494	-1.6183024829933244	-1.6444429267218423	-1.1790306204663419	1.8386027319743217	TCGA-THCA	TCGA_DM1
TCGA-EL-A3GR-01A	0.5836475821819154	0.2537857753564702	-0.91021856258675	-0.19148136479232417	-0.3463474496833956	-0.8687400582917446	-0.09412037412396677	0.5856283013799046	TCGA-THCA	TCGA_DM2
TCGA-EL-A3T7-01A	-0.33598033713733	-1.278055604399019	-0.5276519980241514	0.01697068565134763	1.263923881922688	0.5295743940812523	-0.15280550677152926	1.1039717681400334	TCGA-THCA	TCGA_DM2
TCGA-FE-A230-01A	-0.27342129968176787	-0.1559442159529483	0.13993002087109593	1.1829957576592445	0.8408069876224266	-0.10883557351808008	1.4266000093663873	-1.192055900096784	TCGA-THCA	TCGA_DM2
TCGA-EM-A3FO-01A	0.20620047264618227	-0.5728128006679414	-3.9730714327960315	0.1238033770162534	0.6584634827238437	1.2298249084394208	0.5032645505843596	1.2491885347487708	TCGA-THCA	TCGA_DM2
TCGA-DJ-A3VB-01A	0.10245812067228746	-0.4680620117058964	-0.8942389486928776	-0.34706419670298266	1.038959678269837	1.367858322321238	0.24827346489729585	-0.2732182195356645	TCGA-THCA	TCGA_DM2
TCGA-BJ-A28X-01A	0.39161931062525407	-0.036361415434344506	-0.3231448303749961	0.42462412358599794	0.3740475719053186	-0.24491767274820425	0.33079831617290695	-0.4193291587869205	TCGA-THCA	TCGA_DM2
TCGA-DJ-A2QB-01A	-0.7800896162415529	1.4909906586143231	1.397779577372013	-0.4679570497401126	-2.1990072152748827	-1.3770170655575278	-0.8303504384579075	0.5136263953560152	TCGA-THCA	TCGA_DM1
TCGA-DO-A1K0-01A	-0.16126676086898048	-1.5260764309778854	1.2835815055755482	0.9864752705677374	0.7441813518466445	0.44639000592569894	0.6644525337880486	-0.2691274573525217	TCGA-THCA	TCGA_DM2
TCGA-EL-A4KD-01A	0.344296758009293	0.8271012684072508	-0.7340301046895039	-1.1634158477264251	-0.3568717176159915	-0.5211094136669638	-1.7532702353664409	1.057328022040905	TCGA-THCA	TCGA_DM2
TCGA-BJ-A192-01A	-1.391049816438038	1.6578862246823067	-0.14200530881109052	-1.3435427083877287	-1.68312317048959	-1.7915658117815736	-0.6009411909175345	1.9199409522736797	TCGA-THCA	TCGA_DM1
TCGA-L6-A4EU-01A	0.2721154429579495	-0.617739120985263	-1.30675614802516	0.6252793154647708	0.7525759172228755	1.1603314937995035	0.2688027147442144	-0.26385644134990766	TCGA-THCA	TCGA_DM2
TCGA-DJ-A3V0-01A	-0.06796264934039696	-0.3389031221230766	0.6797639048745372	0.9104265092523178	0.7421121150380768	0.9246585067825371	0.3127389826641301	-1.3666472534074245	TCGA-THCA	TCGA_DM2
TCGA-EM-A2P2-01A	-0.8959204313691695	-1.5978942327863237	-1.1950383488179337	-0.6780477736257493	0.48990978812709035	0.6300562924927346	1.2475283335813148	2.137186096684344	TCGA-THCA	TCGA_DM1
TCGA-BJ-A45G-01A	0.6633280052974525	1.050996141034314	-0.25893353942659164	-1.2292052690712725	-1.257853764848018	-1.467064832370571	-1.3243429367825088	1.1122234926441967	TCGA-THCA	TCGA_DM1
TCGA-FY-A3R7-01A	-0.602529970741924	0.9236608750458543	0.12111536459313374	-0.7941524199117992	-0.8032725973151048	-0.9779257624067585	-0.36317170207328286	0.8169893742833753	TCGA-THCA	TCGA_DM2
TCGA-DJ-A3VG-01A	0.21190847267956708	1.263790893308657	-0.412870598812291	-1.1184746092723852	-1.3111716011239414	-0.37669860570290503	-1.4559152736061818	0.6580059482483472	TCGA-THCA	TCGA_DM1
TCGA-ET-A25O-01A	-0.26171146957967595	-0.36956469420354127	1.716022352299032	0.601745294884641	0.27041458049343486	0.5724354253480727	0.7169665742339223	-1.3712874536380943	TCGA-THCA	TCGA_DM2
TCGA-DJ-A3UR-01A	-0.4381481958580638	-0.4368024830644135	1.4633720415486406	-0.10932122050991588	0.6122874615799826	0.496516346526727	0.1688351819051158	-0.5500332368093676	TCGA-THCA	TCGA_DM2
