covariate	cohen_d	delta_d
raw (no residualization)	-1.6706876975671057	0.0
residualize on stromal	-1.1577482313347272	0.5129394662323785
residualize on immune	-0.7585057631549376	0.9121819344121681
residualize on epithelial-only	-0.522813837120103	1.1478738604470027
residualize on ALL 8 fractions	-0.4719465526170845	1.1987411449500212
