contrast	mapk_d	panel_d	n_a	n_b
BRAF_V600E_vs_RAS_mut	0.48475695480543923	-1.6152576569897215	344	61
RET_fusion_vs_RAS_mut	1.1168795252200194	-0.9989089973950241	43	61
BRAF_V600E_vs_RET_fusion	-0.6651754299039149	-0.6653488827489553	344	43
BRAF_V600E_vs_driver_neg	1.0996221165152205	-0.9001497676967642	344	103
RAS_mut_vs_driver_neg	0.5721053163530057	0.39327519484360923	61	103
RET_fusion_vs_driver_neg	1.395593600419312	-0.2613829109981262	43	103
