sample_id	stage	subset	adjustment	rho_linear_resid_spearman	p_linear_resid_spearman	n_linear	rho_rank_partial_spearman	p_rank_partial_spearman	n_rank	n_MAPK_genes	n_panel_genes
GSM7980860_N-1	PT	all_spots	raw	0.19941166059148166	8.655739598619269e-32	3395	0.19941166059148166	8.655739598618709e-32	3395	9	8
GSM7980860_N-1	PT	all_spots	epithelial	0.1412382216811767	1.363156149709671e-16	3395	0.1452439468273146	1.817627119174276e-17	3395	9	8
GSM7980860_N-1	PT	all_spots	qc	-0.013091714200541595	0.4457247619830116	3395	-0.00013836339309102443	0.9935699182158504	3395	9	8
GSM7980860_N-1	PT	all_spots	microenv	0.15973080729068784	7.697268794989469e-21	3395	0.17336044626641117	2.5761965692086847e-24	3395	9	8
GSM7980860_N-1	PT	all_spots	spatial	0.1364554753614066	1.4023898265740137e-15	3395	0.15926072803444363	1.0021982637015842e-20	3395	9	8
GSM7980860_N-1	PT	all_spots	detection	0.17275766838632708	3.723277271820023e-24	3395	0.1055229713509697	7.119141464889666e-10	3395	9	8
GSM7980860_N-1	PT	all_spots	epithelial_qc	-0.012671166745590072	0.4604756125009605	3395	-0.0020923703522786647	0.9030014966608221	3395	9	8
GSM7980860_N-1	PT	all_spots	epithelial_qc_microenv	-0.0023988026953100186	0.8888821117455258	3395	0.009011678007745324	0.5996545232249463	3395	9	8
GSM7980860_N-1	PT	all_spots	epithelial_qc_microenv_spatial	0.00233896745249153	0.8916364972851423	3395	0.014710572315047719	0.3915188497921685	3395	9	8
GSM7980860_N-1	PT	all_spots	epithelial_qc_microenv_spatial_detection	0.0879531177531126	2.854727746729353e-07	3395	0.027763239623381307	0.10579489773198142	3395	9	8
GSM7980860_N-1	PT	epithelial_top50	raw	0.21004020821197517	2.201637374241952e-18	1698	0.2273785813136627	2.3737947894883675e-21	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	epithelial	0.2365479685373223	5.0449892555288385e-23	1698	0.22561164464090472	4.89183514594684e-21	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	qc	0.02827100850585355	0.24428929246793268	1698	0.04890951702120566	0.04389141478275158	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	microenv	0.16557648987845863	6.635616707719848e-12	1698	0.1984251345483834	1.5494419250352938e-16	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	spatial	0.177310573723693	1.8473092305996073e-13	1698	0.19345533810776228	8.846478606277982e-16	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	detection	0.11511883856550817	1.9746223712604186e-06	1698	0.10293989052904953	2.1377648135131067e-05	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	epithelial_qc	0.02656803400096665	0.2738802208633388	1698	0.04803213121504782	0.04782333735967576	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	epithelial_qc_microenv	0.025896923782065505	0.2861876219212837	1698	0.05720808146134668	0.018395650524457734	1698	9	8
GSM7980860_N-1	PT	epithelial_top50	epithelial_qc_microenv_spatial	0.023534317752757328	0.3324484549713759	1698	0.056752864435620776	0.019347516053266796	1698	9	8
