gene	n_high	n_low	mean_eff_high	mean_eff_low	delta	cohens_d	p	dependency_interpretation
MYC	372	394	-2.1005636487968995	-1.7250273165825576	-0.3755363322143419	-0.4986620405165251	1.002341004035421e-11	more_essential_in_DM1_high
NAMPT	372	394	-0.5595902165002021	-0.365201149406058	-0.1943890670941441	-0.4454744778982404	1.525877592291053e-09	more_essential_in_DM1_high
PAX8	372	394	-0.1267781137544578	-0.2838633494023809	0.1570852356479231	0.4221283899956792	6.553384230562656e-09	more_essential_in_DM1_low
NKX2-1	372	394	-0.0050840400425566	-0.0566543819245788	0.0515703418820222	0.2622221979268849	0.0002796949904983	more_essential_in_DM1_low
JAK2	372	394	0.1122449584992371	0.1468169955290173	-0.0345720370297801	-0.208320155289709	0.0044085367373595	more_essential_in_DM1_high
JAK1	372	394	-0.0279560865827905	-0.0694022056906736	0.041446119107883	0.1978884755494815	0.0062731724147048	more_essential_in_DM1_low
TSHR	372	394	0.1017706617263899	0.1210491240451647	-0.0192784623187747	-0.1949857831584538	0.0072115200900087	more_essential_in_DM1_high
TACSTD2	372	394	-0.0881143610156851	-0.1133130619572763	0.0251987009415912	0.1787339833611772	0.0135475293083364	more_essential_in_DM1_low
STAT3	372	394	-0.0812019223089013	-0.1048051918963552	0.0236032695874538	0.1409981575709354	0.050907915837627	more_essential_in_DM1_low
DNMT1	372	394	-0.5812332666188944	-0.6092449057920247	0.0280116391731303	0.1318615309762659	0.0691944142670732	more_essential_in_DM1_low
SRC	372	394	-0.1310732638810595	-0.1094695876840506	-0.0216036761970088	-0.1183275932528161	0.1027032664800847	more_essential_in_DM1_high
FOXE1	372	394	-0.0251988804103192	-0.0429461992868548	0.0177473188765356	0.1162414329534012	0.1087407942153176	more_essential_in_DM1_low
TPO	372	394	-0.0058023050042313	-0.0160603893146647	0.0102580843104334	0.090062942655845	0.2137043414460175	more_essential_in_DM1_low
TG	372	394	0.0226657953746148	0.0135968346355574	0.0090689607390574	0.0763789356746029	0.2924938934220786	more_essential_in_DM1_low
HHEX	372	394	-0.0717869481929941	-0.0607375408846752	-0.0110494073083189	-0.0645929428280629	0.3738729859646049	more_essential_in_DM1_high
DIO1	372	394	0.032327170789842	0.0273616563445063	0.0049655144453356	0.0424572672953881	0.5575951385062571	more_essential_in_DM1_low
SLC5A5	372	394	-0.1666481129044384	-0.1709957315762371	0.0043476186717986	0.0349814244198471	0.6285140979642411	more_essential_in_DM1_low
EZH2	372	394	-0.0276397379308885	-0.034699960579432	0.0070602226485434	0.0286070119173255	0.6921581684083152	more_essential_in_DM1_low
KCNN4	372	394	-0.0045657553751215	-0.0022243875392575	-0.002341367835864	-0.020553775068722	0.7766534715563533	more_essential_in_DM1_high
FYN	372	394	0.0171450157742008	0.0147270509462343	0.0024179648279664	0.0197901959057321	0.7843743877936264	more_essential_in_DM1_low
LYN	372	394	0.0501888948181659	0.0482194914120419	0.001969403406124	0.0152135076263386	0.8335335074700885	more_essential_in_DM1_low
