tcga_sample_id	B cell	Endothelial cell	Epithelial cell	Fibroblast	Malignant cell	Myeloid cell	NK cell	T cell
TCGA-DJ-A2Q6-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-FK-A3SE-01A	0.0	0.3987954630848854	0.6012045369151147	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A2QA-01A	0.0	0.3781464535419832	0.5620799512853577	0.05977359517265909	0.0	0.0	0.0	0.0
TCGA-FY-A2QD-01A	0.0	0.2529617975836979	0.747038202416302	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3GR-01A	0.0	0.7144852713108532	0.2855147286891468	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3T7-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3T7-11A	0.0	0.2037335468825585	0.6778409240363951	0.11842552908104652	0.0	0.0	0.0	0.0
TCGA-FE-A230-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A3FO-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A3VB-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A28X-11A	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A28X-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A2QB-01A	0.0	0.44139739390941807	0.5586026060905819	0.0	0.0	0.0	0.0	0.0
TCGA-DO-A1K0-01A	0.0	0.7365674166358904	0.2634325833641095	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A4KD-01A	0.0	0.6221132055383938	0.37788679446160633	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A192-01A	0.0	0.3869184180703171	0.6130815819296829	0.0	0.0	0.0	0.0	0.0
TCGA-L6-A4EU-01A	0.0	0.7790371894267824	0.0	0.22096281057321768	0.0	0.0	0.0	0.0
TCGA-DJ-A3V0-01A	0.0	0.42194933481550845	0.0	0.5780506651844916	0.0	0.0	0.0	0.0
TCGA-EM-A2P2-01A	0.0	0.5743612450823289	0.2981549717746745	0.1274837831429968	0.0	0.0	0.0	0.0
TCGA-BJ-A45G-01A	0.0	0.36662640244009215	0.6333735975599077	0.0	0.0	0.0	0.0	0.0
TCGA-FY-A3R7-01A	0.0	0.35416923858814514	0.6458307614118548	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A3VG-01A	0.0	0.40694858377155096	0.5813044873303228	0.01174692889812611	0.0	0.0	0.0	0.0
TCGA-ET-A25O-01A	0.0	0.6423826095724976	0.3576173904275024	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A3UR-01A	0.0	0.6600427776963487	0.33995722230365144	0.0	0.0	0.0	0.0	0.0
TCGA-E8-A415-01A	0.0	0.22042123114875187	0.7795787688512481	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A4UR-01A	0.0	0.42539326727146903	0.574606732728531	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A13L-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A45I-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A40S-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3CZ-01A	0.0	0.4300809768027345	0.5699190231972655	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A2P3-01A	0.0	0.2175026309742522	0.0	0.7824973690257477	0.0	0.0	0.0	0.0
TCGA-BJ-A2N7-11A	0.0	0.2713324035350149	0.7018700003324073	0.026797596132577754	0.0	0.0	0.0	0.0
TCGA-BJ-A2N7-01A	0.0	0.37537840308849224	0.6241004963269059	0.0005211005846018884	0.0	0.0	0.0	0.0
TCGA-EL-A3GW-01A	0.0	0.48290271485507164	0.5170972851449285	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A13P-01A	0.0	0.7279775532370332	0.27202244676296683	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A39O-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-IM-A3ED-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A39L-01A	0.0	0.5602566641419744	0.4397433358580256	0.0	0.0	0.0	0.0	0.0
TCGA-FY-A3YR-01A	0.0	0.5506078718304315	0.05522943478996909	0.3941626933795994	0.0	0.0	0.0	0.0
TCGA-KS-A4IB-01A	0.0	0.7466170239928154	0.2533829760071846	0.0	0.0	0.0	0.0	0.0
