	GSE76039 (advanced PDTC+ATC, n=37)	Lee DM1_like (n=288)	Lee DM2_like (n=81)	Lee Normal (n=263)
B cell	0.051597076776029246	0.06406880143466313	0.06302228124643262	0.06269730883433963
Endothelial cell	0.06251833677076235	0.086433507925824	0.1067197718622556	0.10439581289347667
Epithelial cell	0.04406911239449928	0.0487389372462447	0.09812178550057583	0.10887773285278043
Fibroblast	0.07825630967457788	0.08383585572231009	0.08303387220738404	0.08783651398226401
Malignant cell	0.28012485315741753	0.28626188443923933	0.2536793018202907	0.24132795725038172
Myeloid cell	0.24001298209124367	0.23328701885268024	0.21381489335162204	0.20924472309181588
NK cell	0.01745753788932858	0.013583902314903	0.011803877236580605	0.010943701242518361
T cell	0.22596379124614155	0.18379009206413519	0.16980421677485832	0.17467624985242297
