source	gene
OncoKB_thyroid	AKT1
OncoKB_thyroid	ALK
OncoKB_thyroid	BRAF
OncoKB_thyroid	CDK4
OncoKB_thyroid	CDK6
OncoKB_thyroid	CDKN2A
OncoKB_thyroid	DICER1
OncoKB_thyroid	EGFR
OncoKB_thyroid	ERBB2
OncoKB_thyroid	FGFR1
OncoKB_thyroid	FGFR2
OncoKB_thyroid	FGFR3
OncoKB_thyroid	HRAS
OncoKB_thyroid	KIT
OncoKB_thyroid	KRAS
OncoKB_thyroid	MET
OncoKB_thyroid	NRAS
OncoKB_thyroid	NTRK1
OncoKB_thyroid	NTRK3
OncoKB_thyroid	PDGFRA
OncoKB_thyroid	PIK3CA
OncoKB_thyroid	PTEN
OncoKB_thyroid	RET
OncoKB_thyroid	ROS1
OncoKB_thyroid	STK11
OncoKB_thyroid	TERT
OncoKB_thyroid	TP53
OncoKB_thyroid	TSC1
OncoKB_thyroid	TSC2
OncoKB_thyroid	TSHR
