source	gene
Agrawal_2014_drivers	AKT1
Agrawal_2014_drivers	ALK
Agrawal_2014_drivers	ATM
Agrawal_2014_drivers	BRAF
Agrawal_2014_drivers	CHEK2
Agrawal_2014_drivers	CTNNB1
Agrawal_2014_drivers	DICER1
Agrawal_2014_drivers	EIF1AX
Agrawal_2014_drivers	HRAS
Agrawal_2014_drivers	KRAS
Agrawal_2014_drivers	NRAS
Agrawal_2014_drivers	NTRK1
Agrawal_2014_drivers	NTRK3
Agrawal_2014_drivers	PAX8
Agrawal_2014_drivers	PIK3CA
Agrawal_2014_drivers	PPARG
Agrawal_2014_drivers	RET
Agrawal_2014_drivers	TERT
Agrawal_2014_drivers	TP53
Agrawal_2014_drivers	TSHR
