source	gene
Costa_2015_BRS	ANGPTL4
Costa_2015_BRS	BRAF
Costa_2015_BRS	CEACAM5
Costa_2015_BRS	CEACAM6
Costa_2015_BRS	CITED1
Costa_2015_BRS	DIO1
Costa_2015_BRS	DIO2
Costa_2015_BRS	DUSP4
Costa_2015_BRS	DUSP6
Costa_2015_BRS	ERBB3
Costa_2015_BRS	ETV5
Costa_2015_BRS	FN1
Costa_2015_BRS	FOSL1
Costa_2015_BRS	FOXE1
Costa_2015_BRS	HMGA2
Costa_2015_BRS	KRT19
Costa_2015_BRS	LGALS3
Costa_2015_BRS	LRP4
Costa_2015_BRS	MET
Costa_2015_BRS	MSLN
Costa_2015_BRS	NKX2-1
Costa_2015_BRS	PAX8
Costa_2015_BRS	SERPINA1
Costa_2015_BRS	SLC26A4
Costa_2015_BRS	SLC5A5
Costa_2015_BRS	SPRY4
Costa_2015_BRS	TG
Costa_2015_BRS	TIMP1
Costa_2015_BRS	TPO
Costa_2015_BRS	TSHR
