source	gene
DisGeNET_thyroid_carcinoma	ALK
DisGeNET_thyroid_carcinoma	BAX
DisGeNET_thyroid_carcinoma	BCL2
DisGeNET_thyroid_carcinoma	BRAF
DisGeNET_thyroid_carcinoma	CASP3
DisGeNET_thyroid_carcinoma	CCNB1
DisGeNET_thyroid_carcinoma	CCND1
DisGeNET_thyroid_carcinoma	CDH1
DisGeNET_thyroid_carcinoma	CDKN2A
DisGeNET_thyroid_carcinoma	CITED1
DisGeNET_thyroid_carcinoma	CLDN10
DisGeNET_thyroid_carcinoma	COX2
DisGeNET_thyroid_carcinoma	CXCL10
DisGeNET_thyroid_carcinoma	DICER1
DisGeNET_thyroid_carcinoma	DIO1
DisGeNET_thyroid_carcinoma	DIO2
DisGeNET_thyroid_carcinoma	DUOX1
DisGeNET_thyroid_carcinoma	DUOX2
DisGeNET_thyroid_carcinoma	DUSP6
DisGeNET_thyroid_carcinoma	ERBB3
DisGeNET_thyroid_carcinoma	ETV5
DisGeNET_thyroid_carcinoma	EZH2
DisGeNET_thyroid_carcinoma	FN1
DisGeNET_thyroid_carcinoma	FOSL1
DisGeNET_thyroid_carcinoma	FOXE1
DisGeNET_thyroid_carcinoma	HMGA2
DisGeNET_thyroid_carcinoma	HRAS
DisGeNET_thyroid_carcinoma	KRAS
DisGeNET_thyroid_carcinoma	KRT19
DisGeNET_thyroid_carcinoma	LGALS3
DisGeNET_thyroid_carcinoma	LRP4
DisGeNET_thyroid_carcinoma	MET
DisGeNET_thyroid_carcinoma	MKI67
DisGeNET_thyroid_carcinoma	MMP9
DisGeNET_thyroid_carcinoma	MYC
DisGeNET_thyroid_carcinoma	NKX2-1
DisGeNET_thyroid_carcinoma	NRAS
DisGeNET_thyroid_carcinoma	NTRK1
DisGeNET_thyroid_carcinoma	NTRK3
DisGeNET_thyroid_carcinoma	PAX8
DisGeNET_thyroid_carcinoma	PIK3CA
DisGeNET_thyroid_carcinoma	PLAU
DisGeNET_thyroid_carcinoma	PPARG
DisGeNET_thyroid_carcinoma	RAS
DisGeNET_thyroid_carcinoma	RET
DisGeNET_thyroid_carcinoma	SDHA
DisGeNET_thyroid_carcinoma	SDHB
DisGeNET_thyroid_carcinoma	SDHC
DisGeNET_thyroid_carcinoma	SDHD
DisGeNET_thyroid_carcinoma	SERPINA1
DisGeNET_thyroid_carcinoma	SLC26A4
DisGeNET_thyroid_carcinoma	SLC34A2
DisGeNET_thyroid_carcinoma	SLC5A5
DisGeNET_thyroid_carcinoma	SPRY2
DisGeNET_thyroid_carcinoma	TACSTD2
DisGeNET_thyroid_carcinoma	TERT
DisGeNET_thyroid_carcinoma	TFF3
DisGeNET_thyroid_carcinoma	TG
DisGeNET_thyroid_carcinoma	TIMP1
DisGeNET_thyroid_carcinoma	TMPRSS4
DisGeNET_thyroid_carcinoma	TP53
DisGeNET_thyroid_carcinoma	TPO
DisGeNET_thyroid_carcinoma	TSHR
DisGeNET_thyroid_carcinoma	VEGFA
