source	gene
TCGA_THCA_2014	ALK
TCGA_THCA_2014	BRAF
TCGA_THCA_2014	CITED1
TCGA_THCA_2014	CLDN10
TCGA_THCA_2014	CRABP1
TCGA_THCA_2014	DICER1
TCGA_THCA_2014	DIO1
TCGA_THCA_2014	DIO2
TCGA_THCA_2014	DUOX1
TCGA_THCA_2014	DUOX2
TCGA_THCA_2014	DUSP4
TCGA_THCA_2014	DUSP5
TCGA_THCA_2014	DUSP6
TCGA_THCA_2014	EIF1AX
TCGA_THCA_2014	ETV5
TCGA_THCA_2014	EZH1
TCGA_THCA_2014	FN1
TCGA_THCA_2014	FOSL1
TCGA_THCA_2014	FOXE1
TCGA_THCA_2014	HMGA2
TCGA_THCA_2014	HRAS
TCGA_THCA_2014	IYD
TCGA_THCA_2014	KRAS
TCGA_THCA_2014	KRT19
TCGA_THCA_2014	LGALS3
TCGA_THCA_2014	LRP4
TCGA_THCA_2014	MET
TCGA_THCA_2014	NKX2-1
TCGA_THCA_2014	NRAS
TCGA_THCA_2014	NTRK1
TCGA_THCA_2014	NTRK3
TCGA_THCA_2014	PAX8
TCGA_THCA_2014	PHLDA1
TCGA_THCA_2014	PPARG
TCGA_THCA_2014	PTEN
TCGA_THCA_2014	RET
TCGA_THCA_2014	SERPINA1
TCGA_THCA_2014	SLC26A4
TCGA_THCA_2014	SLC5A5
TCGA_THCA_2014	SPRY2
TCGA_THCA_2014	SPRY4
TCGA_THCA_2014	TACSTD2
TCGA_THCA_2014	TERT
TCGA_THCA_2014	TG
TCGA_THCA_2014	THRA
TCGA_THCA_2014	THRB
TCGA_THCA_2014	TIMP1
TCGA_THCA_2014	TMPRSS4
TCGA_THCA_2014	TP53
TCGA_THCA_2014	TSHR
