source	gene
Yoo_2019_Korean_PTC	BRAF
Yoo_2019_Korean_PTC	CCND1
Yoo_2019_Korean_PTC	CDKN2A
Yoo_2019_Korean_PTC	CITED1
Yoo_2019_Korean_PTC	CLDN10
Yoo_2019_Korean_PTC	DIO1
Yoo_2019_Korean_PTC	DIO2
Yoo_2019_Korean_PTC	DUSP4
Yoo_2019_Korean_PTC	DUSP5
Yoo_2019_Korean_PTC	DUSP6
Yoo_2019_Korean_PTC	ERBB3
Yoo_2019_Korean_PTC	ETV5
Yoo_2019_Korean_PTC	FN1
Yoo_2019_Korean_PTC	FOSL1
Yoo_2019_Korean_PTC	HMGA2
Yoo_2019_Korean_PTC	HRAS
Yoo_2019_Korean_PTC	KRAS
Yoo_2019_Korean_PTC	KRT19
Yoo_2019_Korean_PTC	LGALS3
Yoo_2019_Korean_PTC	LRP4
Yoo_2019_Korean_PTC	MET
Yoo_2019_Korean_PTC	NKX2-1
Yoo_2019_Korean_PTC	NRAS
Yoo_2019_Korean_PTC	PAX8
Yoo_2019_Korean_PTC	RET
Yoo_2019_Korean_PTC	SERPINA1
Yoo_2019_Korean_PTC	SLC5A5
Yoo_2019_Korean_PTC	TERT
Yoo_2019_Korean_PTC	TG
Yoo_2019_Korean_PTC	TIMP1
Yoo_2019_Korean_PTC	TPO
Yoo_2019_Korean_PTC	TSHR
