source	gene
COSMIC_CGC_thyroid	AKT1
COSMIC_CGC_thyroid	ALK
COSMIC_CGC_thyroid	APC
COSMIC_CGC_thyroid	BRAF
COSMIC_CGC_thyroid	CDKN2A
COSMIC_CGC_thyroid	CDKN2B
COSMIC_CGC_thyroid	CTNNB1
COSMIC_CGC_thyroid	DICER1
COSMIC_CGC_thyroid	EIF1AX
COSMIC_CGC_thyroid	ERBB2
COSMIC_CGC_thyroid	FGFR1
COSMIC_CGC_thyroid	FGFR2
COSMIC_CGC_thyroid	HRAS
COSMIC_CGC_thyroid	KIT
COSMIC_CGC_thyroid	KRAS
COSMIC_CGC_thyroid	MEN1
COSMIC_CGC_thyroid	MET
COSMIC_CGC_thyroid	NF1
COSMIC_CGC_thyroid	NF2
COSMIC_CGC_thyroid	NRAS
COSMIC_CGC_thyroid	NTRK1
COSMIC_CGC_thyroid	NTRK3
COSMIC_CGC_thyroid	PAX8
COSMIC_CGC_thyroid	PDGFRA
COSMIC_CGC_thyroid	PIK3CA
COSMIC_CGC_thyroid	PPARG
COSMIC_CGC_thyroid	PPM1D
COSMIC_CGC_thyroid	PTEN
COSMIC_CGC_thyroid	RAC1
COSMIC_CGC_thyroid	RET
COSMIC_CGC_thyroid	STK11
COSMIC_CGC_thyroid	TERT
COSMIC_CGC_thyroid	TP53
