source	gene
Landa_2016_BRS	AKT1
Landa_2016_BRS	ALK
Landa_2016_BRS	ATM
Landa_2016_BRS	BRAF
Landa_2016_BRS	BRCA1
Landa_2016_BRS	BRCA2
Landa_2016_BRS	CDKN2A
Landa_2016_BRS	CDKN2B
Landa_2016_BRS	DICER1
Landa_2016_BRS	EIF1AX
Landa_2016_BRS	ERBB2
Landa_2016_BRS	ERBB3
Landa_2016_BRS	ERBB4
Landa_2016_BRS	EZH2
Landa_2016_BRS	FANCA
Landa_2016_BRS	FGFR1
Landa_2016_BRS	FGFR2
Landa_2016_BRS	FGFR3
Landa_2016_BRS	HRAS
Landa_2016_BRS	IDH1
Landa_2016_BRS	IDH2
Landa_2016_BRS	KIT
Landa_2016_BRS	KRAS
Landa_2016_BRS	MEN1
Landa_2016_BRS	MET
Landa_2016_BRS	MLH1
Landa_2016_BRS	MSH2
Landa_2016_BRS	MSH6
Landa_2016_BRS	NRAS
Landa_2016_BRS	NTRK1
Landa_2016_BRS	NTRK3
Landa_2016_BRS	PDGFRA
Landa_2016_BRS	PIK3CA
Landa_2016_BRS	PMS2
Landa_2016_BRS	POLE
Landa_2016_BRS	PPM1D
Landa_2016_BRS	PTEN
Landa_2016_BRS	RAC1
Landa_2016_BRS	RET
Landa_2016_BRS	TERT
Landa_2016_BRS	TP53
