layer	dataset	algorithm	AUPRC	AUROC	top5_hits	top10_hits	top24_hits	top5_precision	top10_precision	top24_precision	claim_status	overlap_warning
local 96-well		BioDarwin_public_anchor_v3	0.6430	0.6806	4	5	9.0	0.8	0.5	0.375	wetlab routing comparator	False
local 96-well		BioDarwin_mode_bank_v4	0.6430	0.6806	4	5	9.0	0.8	0.5	0.375	wetlab routing comparator	False
local 96-well		BioDarwin_regime_router_v1	0.6302	0.6597	4	4	9.0	0.8	0.4	0.375	wetlab routing comparator	False
local 96-well		BigMHC_IM	0.5920	0.6458	4	4	9.0	0.8	0.4	0.375	wetlab routing comparator	False
local 96-well		BioDarwin_RF_anchor_heuristic_v1	0.5595	0.5972	3	5	9.0	0.6	0.5	0.375	wetlab routing comparator	False
local 96-well		GA_public_feature_adapter_v0	0.5246	0.6042	3	4	9.0	0.6	0.4	0.375	wetlab routing comparator	False
local 96-well		BigMHC_EL	0.4137	0.4444	1	2	9.0	0.2	0.2	0.375	wetlab routing comparator	False
local 96-well		RF_biophys	0.3164	0.3542	1	3	9.0	0.2	0.3	0.375	wetlab routing comparator	False
external benchmark	cedar_partial	MHCflurry	0.9728	0.7372	5	10		1.0	1.0		local_prediction_file	False
external benchmark	academic_validation_like	BioDarwin_mode_bank_v4	0.8863	0.9724	5	9	10.0	1.0	0.9	0.4166666666666667	gated_full_discovery	False
external benchmark	itsndb	DeepImmuno	0.6109	0.7019	4	8		0.8	0.8		local_prediction_file	False
external benchmark	nepdb	PRIME	0.5623	0.6198	4	8		0.8	0.8		local_prediction_file	False
external benchmark	tesla_mmc4	PRIME	0.1937	0.8054	1	2		0.2	0.2		local_prediction_file	False
