algorithm	source	family	dataset	claim_status	AUPRC	AUROC	top5_hits	top5_precision	top10_hits	top10_precision	top24_hits	top24_precision
BioDarwin_public_anchor_v3	96-well local plate	BioDarwin / local comparators	TG4050 96-well locked-control	wetlab routing comparator	0.643013784461153	0.6805555555555556	4	0.8	5	0.5	9	0.375
BioDarwin_mode_bank_v4	96-well local plate	BioDarwin / local comparators	TG4050 96-well locked-control	wetlab routing comparator	0.643013784461153	0.6805555555555556	4	0.8	5	0.5	9	0.375
BioDarwin_regime_router_v1	96-well local plate	BioDarwin / local comparators	TG4050 96-well locked-control	wetlab routing comparator	0.63019327164064	0.6597222222222222	4	0.8	4	0.4	9	0.375
BigMHC_IM	96-well local plate	BioDarwin / local comparators	TG4050 96-well locked-control	wetlab routing comparator	0.5919973544973545	0.6458333333333334	4	0.8	4	0.4	9	0.375
BioDarwin_RF_anchor_heuristic_v1	96-well local plate	BioDarwin / local comparators	TG4050 96-well locked-control	wetlab routing comparator	0.5594516594516594	0.5972222222222222	3	0.6	5	0.5	9	0.375
GA_public_feature_adapter_v0	96-well local plate	BioDarwin / local comparators	TG4050 96-well locked-control	wetlab routing comparator	0.524623216289883	0.6041666666666667	3	0.6	4	0.4	9	0.375
BigMHC_EL	96-well local plate	BioDarwin / local comparators	TG4050 96-well locked-control	wetlab routing comparator	0.4136587626290144	0.4444444444444444	1	0.2	2	0.2	9	0.375
RF_biophys	96-well local plate	BioDarwin / local comparators	TG4050 96-well locked-control	wetlab routing comparator	0.3164132136531966	0.3541666666666666	1	0.2	3	0.3	9	0.375
