gene	n_DM1	n_DM2	mean_β_DM1	mean_β_DM2	Δβ	cohens_d	mw_p
SLC5A5	90	54	0.588	0.562	0.026	0.225	0.420924195751085
TPO	90	54	0.825	0.41	0.415	2.299	1.880325337579407e-18
TG	90	54	0.648	0.519	0.129	0.856	2.2468663110026494e-06
TSHR	90	54	0.195	0.078	0.117	1.203	9.759000202111913e-12
PAX8	90	54	0.091	0.047	0.045	0.97	4.481379927105437e-08
NKX2-1	90	54	0.081	0.028	0.053	0.631	8.937106472324041e-07
FOXE1	90	54	0.105	0.063	0.042	0.835	1.0239035792584006e-05
DIO1	90	54	0.547	0.319	0.227	1.244	6.515409931007675e-11
