sample_short	DIO1	FOXE1	NKX2-1	PAX8	SLC5A5	TG	TPO	TSHR	mean_8g_beta
TCGA-4C-A93U	0.8735	0.1155	0.0218	0.0999	0.6804	0.9043	0.9209	0.204	0.4775375
TCGA-BJ-A0YZ	0.3116	0.0482	0.0197	0.0947	0.6325	0.3925	0.7887	0.0836	0.2964375
TCGA-BJ-A0Z0	0.825	0.072	0.017	0.0352	0.7103	0.433	0.5344	0.0676	0.33681249999999996
TCGA-BJ-A0Z2	0.1132	0.0388	0.0156	0.0384	0.7799	0.4268	0.8525	0.0421	0.2884125
TCGA-BJ-A0Z3	0.4654	0.1118	0.0687	0.1031	0.6425	0.6827	0.8448	0.253	0.39649999999999996
TCGA-BJ-A0Z5	0.196	0.0624	0.0165	0.0348	0.7259	0.6721	0.9404	0.0838	0.3414875
TCGA-BJ-A0Z9	0.6913	0.0641	0.0233	0.0652	0.7452	0.9464	0.9272	0.2051	0.458475
TCGA-BJ-A0ZA	0.4438	0.101	0.0181	0.0565	0.7015	0.4162	0.4228	0.1454	0.2881625
TCGA-BJ-A0ZB	0.5788	0.0634	0.0178	0.0516	0.6984	0.7746	0.9416	0.0712	0.399675
TCGA-BJ-A0ZC	0.2567	0.0664	0.0232	0.0249	0.6531	0.3783	0.3637	0.0637	0.22875
TCGA-BJ-A0ZE	0.5596	0.0548	0.0189	0.0298	0.7293	0.357	0.6629	0.1155	0.315975
TCGA-BJ-A0ZG	0.3261	0.0774	0.0204	0.0698	0.5229	0.4802	0.3617	0.1272	0.2482125
TCGA-BJ-A0ZH	0.3099	0.0798	0.0378	0.06	0.716	0.6038	0.9275	0.1636	0.36229999999999996
TCGA-BJ-A0ZJ	0.9497	0.0991	0.0476	0.0909	0.5084	0.5958	0.8979	0.2381	0.4284375
TCGA-BJ-A18Y	0.4859	0.0568	0.0215	0.0422	0.4223	0.4358	0.5043	0.0554	0.253025
TCGA-BJ-A18Z	0.324	0.1135	0.0237	0.1279	0.319	0.7964	0.8768	0.2199	0.35014999999999996
TCGA-BJ-A190	0.2161	0.0658	0.0226	0.0324	0.6384	0.8924	0.3058	0.0474	0.2776125
TCGA-BJ-A191	0.1309	0.0586	0.0231	0.0276	0.5459	0.6026	0.7765	0.0581	0.2779125
TCGA-BJ-A192	0.2319	0.0668	0.0238	0.0433	0.4984	0.2413	0.2885	0.1622	0.19452499999999998
TCGA-BJ-A28R	0.3377	0.0908	0.1611	0.1064	0.5818	0.4837	0.9069	0.2016	0.35875
TCGA-BJ-A28S	0.5109	0.0425	0.0145	0.0321	0.3792	0.5966	0.6178	0.0435	0.2796375
